year,state,district,inside_descrip,inside_code,description,cook_code,mean_rating
2010,CA,51,Currently Safe Democrat,4,NA,NA,4
2010,CA,52,Currently Safe Republican,-4,NA,NA,-4
2010,CA,53,Currently Safe Democrat,4,NA,NA,4
2010,CO,1,Currently Safe Democrat,4,NA,NA,4
2010,CO,2,Currently Safe Democrat,4,NA,NA,4
2010,CO,3,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,CO,4,Republican Favored,-3,NA,NA,-3
2010,CO,5,Currently Safe Republican,-4,NA,NA,-4
2010,CO,6,Currently Safe Republican,-4,NA,NA,-4
2010,CO,7,Democrat Favored,3,NA,NA,3
2010,CT,1,Currently Safe Democrat,4,NA,NA,4
2010,CT,2,Currently Safe Democrat,4,NA,NA,4
2010,CT,3,Currently Safe Democrat,4,NA,NA,4
2010,CT,4,Democrat Favored,3,NA,NA,3
2010,CT,5,Democrat Favored,3,NA,NA,3
2010,DE,0,Lean Democrat,2,NA,NA,2
2010,FL,1,Currently Safe Republican,-4,NA,NA,-4
2010,FL,2,Republican Favored,-3,NA,NA,-3
2010,FL,3,Currently Safe Democrat,4,NA,NA,4
2010,FL,4,Currently Safe Republican,-4,NA,NA,-4
2010,FL,5,Currently Safe Republican,-4,NA,NA,-4
2010,FL,6,Currently Safe Republican,-4,NA,NA,-4
2010,FL,7,Currently Safe Republican,-4,NA,NA,-4
2010,FL,8,Republican Favored,-3,NA,NA,-3
2010,FL,9,Currently Safe Republican,-4,NA,NA,-4
2010,FL,10,Currently Safe Republican,-4,NA,NA,-4
2010,FL,11,Currently Safe Democrat,4,NA,NA,4
2010,FL,12,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,FL,13,Currently Safe Republican,-4,NA,NA,-4
2010,FL,14,Currently Safe Republican,-4,NA,NA,-4
2010,FL,15,Currently Safe Republican,-4,NA,NA,-4
2010,FL,16,Currently Safe Republican,-4,NA,NA,-4
2010,FL,17,Currently Safe Democrat,4,NA,NA,4
2010,FL,18,Currently Safe Republican,-4,NA,NA,-4
2010,FL,19,Currently Safe Democrat,4,NA,NA,4
2010,FL,20,Currently Safe Democrat,4,NA,NA,4
2010,FL,21,Currently Safe Republican,-4,NA,NA,-4
2010,FL,22,Pure Toss-up,0,NA,NA,0
2010,FL,23,Currently Safe Democrat,4,NA,NA,4
2010,FL,24,Republican Favored,-3,NA,NA,-3
2010,FL,25,Lean Republican,-2,NA,NA,-2
2010,GA,1,Currently Safe Republican,-4,NA,NA,-4
2010,GA,2,Lean Democrat,2,NA,NA,2
2010,GA,3,Currently Safe Republican,-4,NA,NA,-4
2010,GA,4,Currently Safe Democrat,4,NA,NA,4
2010,GA,5,Currently Safe Democrat,4,NA,NA,4
2010,GA,6,Currently Safe Republican,-4,NA,NA,-4
2010,GA,7,Currently Safe Republican,-4,NA,NA,-4
2010,GA,8,Lean Republican,-2,NA,NA,-2
2010,GA,9,Currently Safe Republican,-4,NA,NA,-4
2010,GA,10,Currently Safe Republican,-4,NA,NA,-4
2010,GA,11,Currently Safe Republican,-4,NA,NA,-4
2010,GA,12,Currently Safe Democrat,4,NA,NA,4
2010,GA,13,Currently Safe Democrat,4,NA,NA,4
2010,HI,1,Pure Toss-up,0,NA,NA,0
2010,HI,2,Currently Safe Democrat,4,NA,NA,4
2010,ID,1,Toss-up/Tilt Democrat,1,NA,NA,1
2010,ID,2,Currently Safe Republican,-4,NA,NA,-4
2010,IL,1,Currently Safe Democrat,4,NA,NA,4
2010,IL,2,Currently Safe Democrat,4,NA,NA,4
2010,IL,3,Currently Safe Democrat,4,NA,NA,4
2010,IL,4,Currently Safe Democrat,4,NA,NA,4
2010,IL,5,Currently Safe Democrat,4,NA,NA,4
2010,IL,6,Currently Safe Republican,-4,NA,NA,-4
2010,IL,7,Currently Safe Democrat,4,NA,NA,4
2010,IL,8,Currently Safe Democrat,4,NA,NA,4
2010,IL,9,Currently Safe Democrat,4,NA,NA,4
2010,IL,10,Toss-up/Tilt Democrat,1,NA,NA,1
2010,IL,11,Republican Favored,-3,NA,NA,-3
2010,IL,12,Currently Safe Democrat,4,NA,NA,4
2010,IL,13,Currently Safe Republican,-4,NA,NA,-4
2010,IL,14,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,IL,15,Currently Safe Republican,-4,NA,NA,-4
2010,IL,16,Currently Safe Republican,-4,NA,NA,-4
2010,IL,17,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,IL,18,Currently Safe Republican,-4,NA,NA,-4
2010,IL,19,Currently Safe Republican,-4,NA,NA,-4
2010,IN,1,Currently Safe Democrat,4,NA,NA,4
2010,IN,2,Lean Democrat,2,NA,NA,2
2010,IN,3,Currently Safe Republican,-4,NA,NA,-4
2010,IN,4,Currently Safe Republican,-4,NA,NA,-4
2010,IN,5,Currently Safe Republican,-4,NA,NA,-4
2010,IN,6,Currently Safe Republican,-4,NA,NA,-4
2010,IN,7,Currently Safe Democrat,4,NA,NA,4
2010,IN,8,Republican Favored,-3,NA,NA,-3
2010,IN,9,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,IA,1,Democrat Favored,3,NA,NA,3
2010,IA,2,Democrat Favored,3,NA,NA,3
2010,IA,3,Democrat Favored,3,NA,NA,3
2010,IA,4,Currently Safe Republican,-4,NA,NA,-4
2010,IA,5,Currently Safe Republican,-4,NA,NA,-4
2010,KS,1,Currently Safe Republican,-4,NA,NA,-4
2010,KS,2,Currently Safe Republican,-4,NA,NA,-4
2010,KS,3,Republican Favored,-3,NA,NA,-3
2010,KS,4,Currently Safe Republican,-4,NA,NA,-4
2010,KY,1,Currently Safe Republican,-4,NA,NA,-4
2010,KY,2,Currently Safe Republican,-4,NA,NA,-4
2010,KY,3,Democrat Favored,3,NA,NA,3
2010,KY,4,Currently Safe Republican,-4,NA,NA,-4
2010,KY,5,Currently Safe Republican,-4,NA,NA,-4
2010,KY,6,Lean Democrat,2,NA,NA,2
2010,LA,1,Currently Safe Republican,-4,NA,NA,-4
2010,LA,2,Democrat Favored,3,NA,NA,3
2010,LA,3,Republican Favored,-3,NA,NA,-3
2010,LA,4,Currently Safe Republican,-4,NA,NA,-4
2010,LA,5,Currently Safe Republican,-4,NA,NA,-4
2010,LA,6,Currently Safe Republican,-4,NA,NA,-4
2010,LA,7,Currently Safe Republican,-4,NA,NA,-4
2010,ME,1,Democrat Favored,3,NA,NA,3
2010,ME,2,Democrat Favored,3,NA,NA,3
2010,MD,1,Lean Republican,-2,NA,NA,-2
2010,MD,2,Currently Safe Democrat,4,NA,NA,4
2010,MD,3,Currently Safe Democrat,4,NA,NA,4
2010,MD,4,Currently Safe Democrat,4,NA,NA,4
2010,MD,5,Currently Safe Democrat,4,NA,NA,4
2010,MD,6,Currently Safe Republican,-4,NA,NA,-4
2010,MD,7,Currently Safe Democrat,4,NA,NA,4
2010,MD,8,Currently Safe Democrat,4,NA,NA,4
2010,MA,1,Currently Safe Democrat,4,NA,NA,4
2010,MA,2,Currently Safe Democrat,4,NA,NA,4
2010,MA,3,Currently Safe Democrat,4,NA,NA,4
2010,MA,4,Currently Safe Democrat,4,NA,NA,4
2010,MA,5,Currently Safe Democrat,4,NA,NA,4
2010,MA,6,Currently Safe Democrat,4,NA,NA,4
2010,MA,7,Currently Safe Democrat,4,NA,NA,4
2010,MA,8,Currently Safe Democrat,4,NA,NA,4
2010,MA,9,Currently Safe Democrat,4,NA,NA,4
2010,MA,10,Pure Toss-up,0,NA,NA,0
2010,MI,1,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,MI,2,Currently Safe Republican,-4,NA,NA,-4
2010,MI,3,Currently Safe Republican,-4,NA,NA,-4
2010,MI,4,Currently Safe Republican,-4,NA,NA,-4
2010,MI,5,Currently Safe Democrat,4,NA,NA,4
2010,MI,6,Currently Safe Republican,-4,NA,NA,-4
2010,MI,7,Pure Toss-up,0,NA,NA,0
2010,MI,8,Currently Safe Republican,-4,NA,NA,-4
2010,MI,9,Lean Democrat,2,NA,NA,2
2010,MI,10,Currently Safe Republican,-4,NA,NA,-4
2010,MI,11,Currently Safe Republican,-4,NA,NA,-4
2010,MI,12,Currently Safe Democrat,4,NA,NA,4
2010,MI,13,Currently Safe Democrat,4,NA,NA,4
2010,MI,14,Currently Safe Democrat,4,NA,NA,4
2010,MI,15,Currently Safe Democrat,4,NA,NA,4
2010,MN,1,Democrat Favored,3,NA,NA,3
2010,MN,2,Currently Safe Republican,-4,NA,NA,-4
2010,MN,3,Currently Safe Republican,-4,NA,NA,-4
2010,MN,4,Currently Safe Democrat,4,NA,NA,4
2010,MN,5,Currently Safe Democrat,4,NA,NA,4
2010,MN,6,Currently Safe Republican,-4,NA,NA,-4
2010,MN,7,Currently Safe Democrat,4,NA,NA,4
2010,MN,8,Democrat Favored,3,NA,NA,3
2010,MS,1,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,MS,2,Currently Safe Democrat,4,NA,NA,4
2010,MS,3,Currently Safe Republican,-4,NA,NA,-4
2010,MS,4,Pure Toss-up,0,NA,NA,0
2010,MO,1,Currently Safe Democrat,4,NA,NA,4
2010,MO,2,Currently Safe Republican,-4,NA,NA,-4
2010,MO,3,Democrat Favored,3,NA,NA,3
2010,MO,4,Pure Toss-up,0,NA,NA,0
2010,MO,5,Currently Safe Democrat,4,NA,NA,4
2010,MO,6,Currently Safe Republican,-4,NA,NA,-4
2010,MO,7,Currently Safe Republican,-4,NA,NA,-4
2010,MO,8,Currently Safe Republican,-4,NA,NA,-4
2010,MO,9,Currently Safe Republican,-4,NA,NA,-4
2010,MT,0,Currently Safe Republican,-4,NA,NA,-4
2010,NE,1,Currently Safe Republican,-4,NA,NA,-4
2010,NE,2,Currently Safe Republican,-4,NA,NA,-4
2010,NE,3,Currently Safe Republican,-4,NA,NA,-4
2010,NV,1,Currently Safe Democrat,4,NA,NA,4
2010,NV,2,Currently Safe Republican,-4,NA,NA,-4
2010,NV,3,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,NH,1,Republican Favored,-3,NA,NA,-3
2010,NH,2,Pure Toss-up,0,NA,NA,0
2010,NJ,1,Currently Safe Democrat,4,NA,NA,4
2010,NJ,2,Currently Safe Republican,-4,NA,NA,-4
2010,NJ,3,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,NJ,4,Currently Safe Republican,-4,NA,NA,-4
2010,NJ,5,Currently Safe Republican,-4,NA,NA,-4
2010,NJ,6,Currently Safe Democrat,4,NA,NA,4
2010,NJ,7,Currently Safe Republican,-4,NA,NA,-4
2010,NJ,8,Currently Safe Democrat,4,NA,NA,4
2010,NJ,9,Currently Safe Democrat,4,NA,NA,4
2010,NJ,10,Currently Safe Democrat,4,NA,NA,4
2010,NJ,11,Currently Safe Republican,-4,NA,NA,-4
2010,NJ,12,Currently Safe Democrat,4,NA,NA,4
2010,NJ,13,Currently Safe Democrat,4,NA,NA,4
2010,NM,1,Pure Toss-up,0,NA,NA,0
2010,NM,2,Lean Republican,-2,NA,NA,-2
2010,NM,3,Currently Safe Democrat,4,NA,NA,4
2010,NY,1,Toss-up/Tilt Democrat,1,NA,NA,1
2010,NY,2,Currently Safe Democrat,4,NA,NA,4
2010,NY,3,Currently Safe Republican,-4,NA,NA,-4
2010,NY,4,Currently Safe Democrat,4,NA,NA,4
2010,NY,5,Currently Safe Democrat,4,NA,NA,4
2010,NY,6,Currently Safe Democrat,4,NA,NA,4
2010,NY,7,Currently Safe Democrat,4,NA,NA,4
2010,NY,8,Currently Safe Democrat,4,NA,NA,4
2010,NY,9,Currently Safe Democrat,4,NA,NA,4
2010,NY,10,Currently Safe Democrat,4,NA,NA,4
2010,NY,11,Currently Safe Democrat,4,NA,NA,4
2010,NY,12,Currently Safe Democrat,4,NA,NA,4
2010,NY,13,Democrat Favored,3,NA,NA,3
2010,NY,14,Currently Safe Democrat,4,NA,NA,4
2010,NY,15,Currently Safe Democrat,4,NA,NA,4
2010,NY,16,Currently Safe Democrat,4,NA,NA,4
2010,NY,17,Currently Safe Democrat,4,NA,NA,4
2010,NY,18,Currently Safe Democrat,4,NA,NA,4
2010,NY,19,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,NY,20,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,NY,21,Currently Safe Democrat,4,NA,NA,4
2010,NY,22,Currently Safe Democrat,4,NA,NA,4
2010,NY,23,Pure Toss-up,0,NA,NA,0
2010,NY,24,Pure Toss-up,0,NA,NA,0
2010,NY,25,Democrat Favored,3,NA,NA,3
2010,NY,26,Currently Safe Republican,-4,NA,NA,-4
2010,NY,27,Currently Safe Democrat,4,NA,NA,4
2010,NY,28,Currently Safe Democrat,4,NA,NA,4
2010,NY,29,Republican Favored,-3,NA,NA,-3
2010,NC,1,Currently Safe Democrat,4,NA,NA,4
2010,NC,2,Toss-up/Tilt Democrat,1,NA,NA,1
2010,NC,3,Currently Safe Republican,-4,NA,NA,-4
2010,NC,4,Currently Safe Democrat,4,NA,NA,4
2010,NC,5,Currently Safe Republican,-4,NA,NA,-4
2010,NC,6,Currently Safe Republican,-4,NA,NA,-4
2010,NC,7,Toss-up/Tilt Democrat,1,NA,NA,1
2010,NC,8,Lean Democrat,2,NA,NA,2
2010,NC,9,Currently Safe Republican,-4,NA,NA,-4
2010,NC,10,Currently Safe Republican,-4,NA,NA,-4
2010,NC,11,Democrat Favored,3,NA,NA,3
2010,NC,12,Currently Safe Democrat,4,NA,NA,4
2010,NC,13,Currently Safe Democrat,4,NA,NA,4
2010,ND,0,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,OH,1,Republican Favored,-3,NA,NA,-3
2010,OH,2,Currently Safe Republican,-4,NA,NA,-4
2010,OH,3,Currently Safe Republican,-4,NA,NA,-4
2010,OH,4,Currently Safe Republican,-4,NA,NA,-4
2010,OH,5,Currently Safe Republican,-4,NA,NA,-4
2010,OH,6,Pure Toss-up,0,NA,NA,0
2010,OH,7,Currently Safe Republican,-4,NA,NA,-4
2010,OH,8,Currently Safe Republican,-4,NA,NA,-4
2010,OH,9,Currently Safe Democrat,4,NA,NA,4
2010,OH,10,Currently Safe Democrat,4,NA,NA,4
2010,OH,11,Currently Safe Democrat,4,NA,NA,4
2010,OH,12,Currently Safe Republican,-4,NA,NA,-4
2010,OH,13,Democrat Favored,3,NA,NA,3
2010,OH,14,Currently Safe Republican,-4,NA,NA,-4
2010,OH,15,Republican Favored,-3,NA,NA,-3
2010,OH,16,Lean Republican,-2,NA,NA,-2
2010,OH,17,Currently Safe Democrat,4,NA,NA,4
2010,OH,18,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,OK,1,Currently Safe Republican,-4,NA,NA,-4
2010,OK,2,Currently Safe Democrat,4,NA,NA,4
2010,OK,3,Currently Safe Republican,-4,NA,NA,-4
2010,OK,4,Currently Safe Republican,-4,NA,NA,-4
2010,OK,5,Currently Safe Republican,-4,NA,NA,-4
2010,OR,1,Currently Safe Democrat,4,NA,NA,4
2010,OR,2,Currently Safe Republican,-4,NA,NA,-4
2010,OR,3,Currently Safe Democrat,4,NA,NA,4
2010,OR,4,Currently Safe Democrat,4,NA,NA,4
2010,OR,5,Pure Toss-up,0,NA,NA,0
2010,PA,1,Currently Safe Democrat,4,NA,NA,4
2010,PA,2,Currently Safe Democrat,4,NA,NA,4
2010,PA,3,Republican Favored,-3,NA,NA,-3
2010,PA,4,Democrat Favored,3,NA,NA,3
2010,PA,5,Currently Safe Republican,-4,NA,NA,-4
2010,PA,6,Currently Safe Republican,-4,NA,NA,-4
2010,PA,7,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,PA,8,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,PA,9,Currently Safe Republican,-4,NA,NA,-4
2010,PA,10,Pure Toss-up,0,NA,NA,0
2010,PA,11,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,PA,12,Pure Toss-up,0,NA,NA,0
2010,PA,13,Currently Safe Democrat,4,NA,NA,4
2010,PA,14,Currently Safe Democrat,4,NA,NA,4
2010,PA,15,Republican Favored,-3,NA,NA,-3
2010,PA,16,Currently Safe Republican,-4,NA,NA,-4
2010,PA,17,Currently Safe Democrat,4,NA,NA,4
2010,PA,18,Currently Safe Republican,-4,NA,NA,-4
2010,PA,19,Currently Safe Republican,-4,NA,NA,-4
2010,RI,1,Lean Democrat,2,NA,NA,2
2010,RI,2,Currently Safe Democrat,4,NA,NA,4
2010,SC,1,Currently Safe Republican,-4,NA,NA,-4
2010,SC,2,Currently Safe Republican,-4,NA,NA,-4
2010,SC,3,Currently Safe Republican,-4,NA,NA,-4
2010,SC,4,Currently Safe Republican,-4,NA,NA,-4
2010,SC,5,Lean Republican,-2,NA,NA,-2
2010,SC,6,Currently Safe Democrat,4,NA,NA,4
2010,SD,0,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,TN,1,Currently Safe Republican,-4,NA,NA,-4
2010,TN,2,Currently Safe Republican,-4,NA,NA,-4
2010,TN,3,Currently Safe Republican,-4,NA,NA,-4
2010,TN,4,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,TN,5,Currently Safe Democrat,4,NA,NA,4
2010,TN,6,Republican Favored,-3,NA,NA,-3
2010,TN,7,Currently Safe Republican,-4,NA,NA,-4
2010,TN,8,Republican Favored,-3,NA,NA,-3
2010,TN,9,Currently Safe Democrat,4,NA,NA,4
2010,TX,1,Currently Safe Republican,-4,NA,NA,-4
2010,TX,2,Currently Safe Republican,-4,NA,NA,-4
2010,TX,3,Currently Safe Republican,-4,NA,NA,-4
2010,TX,4,Currently Safe Republican,-4,NA,NA,-4
2010,TX,5,Currently Safe Republican,-4,NA,NA,-4
2010,TX,6,Currently Safe Republican,-4,NA,NA,-4
2010,TX,7,Currently Safe Republican,-4,NA,NA,-4
2010,TX,8,Currently Safe Republican,-4,NA,NA,-4
2010,TX,9,Currently Safe Democrat,4,NA,NA,4
2010,TX,10,Currently Safe Republican,-4,NA,NA,-4
2010,TX,11,Currently Safe Republican,-4,NA,NA,-4
2010,TX,12,Currently Safe Republican,-4,NA,NA,-4
2010,TX,13,Currently Safe Republican,-4,NA,NA,-4
2010,TX,14,Currently Safe Republican,-4,NA,NA,-4
2010,TX,15,Currently Safe Democrat,4,NA,NA,4
2010,TX,16,Currently Safe Democrat,4,NA,NA,4
2010,TX,17,Republican Favored,-3,NA,NA,-3
2010,TX,18,Currently Safe Democrat,4,NA,NA,4
2010,TX,19,Currently Safe Republican,-4,NA,NA,-4
2010,TX,20,Currently Safe Democrat,4,NA,NA,4
2010,TX,21,Currently Safe Republican,-4,NA,NA,-4
2010,TX,22,Currently Safe Republican,-4,NA,NA,-4
2010,TX,23,Pure Toss-up,0,NA,NA,0
2010,TX,24,Currently Safe Republican,-4,NA,NA,-4
2010,TX,25,Currently Safe Democrat,4,NA,NA,4
2010,TX,26,Currently Safe Republican,-4,NA,NA,-4
2010,TX,27,Democrat Favored,3,NA,NA,3
2010,TX,28,Currently Safe Democrat,4,NA,NA,4
2010,TX,29,Currently Safe Democrat,4,NA,NA,4
2010,TX,30,Currently Safe Democrat,4,NA,NA,4
2010,TX,31,Currently Safe Republican,-4,NA,NA,-4
2010,TX,32,Currently Safe Republican,-4,NA,NA,-4
2010,UT,1,Currently Safe Republican,-4,NA,NA,-4
2010,UT,2,Currently Safe Democrat,4,NA,NA,4
2010,UT,3,Currently Safe Republican,-4,NA,NA,-4
2010,VT,0,Currently Safe Democrat,4,NA,NA,4
2010,VA,1,Currently Safe Republican,-4,NA,NA,-4
2010,VA,2,Lean Republican,-2,NA,NA,-2
2010,VA,3,Currently Safe Democrat,4,NA,NA,4
2010,VA,4,Currently Safe Republican,-4,NA,NA,-4
2010,VA,5,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,VA,6,Currently Safe Republican,-4,NA,NA,-4
2010,VA,7,Currently Safe Republican,-4,NA,NA,-4
2010,VA,8,Currently Safe Democrat,4,NA,NA,4
2010,VA,9,Toss-up/Tilt Democrat,1,NA,NA,1
2010,VA,10,Currently Safe Republican,-4,NA,NA,-4
2010,VA,11,Lean Democrat,2,NA,NA,2
2010,WA,1,Currently Safe Democrat,4,NA,NA,4
2010,WA,2,Lean Democrat,2,NA,NA,2
2010,WA,3,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,WA,4,Currently Safe Republican,-4,NA,NA,-4
2010,WA,5,Currently Safe Republican,-4,NA,NA,-4
2010,WA,6,Currently Safe Democrat,4,NA,NA,4
2010,WA,7,Currently Safe Democrat,4,NA,NA,4
2010,WA,8,Republican Favored,-3,NA,NA,-3
2010,WA,9,Currently Safe Democrat,4,NA,NA,4
2010,WV,1,Pure Toss-up,0,NA,NA,0
2010,WV,2,Currently Safe Republican,-4,NA,NA,-4
2010,WV,3,Currently Safe Democrat,4,NA,NA,4
2010,WI,1,Currently Safe Republican,-4,NA,NA,-4
2010,WI,2,Currently Safe Democrat,4,NA,NA,4
2010,WI,3,Democrat Favored,3,NA,NA,3
2010,WI,4,Currently Safe Democrat,4,NA,NA,4
2010,WI,5,Currently Safe Republican,-4,NA,NA,-4
2010,WI,6,Currently Safe Republican,-4,NA,NA,-4
2010,WI,7,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,WI,8,Lean Republican,-2,NA,NA,-2
2010,WY,0,Currently Safe Republican,-4,NA,NA,-4
2012,AL,1,Currently Safe Republican,-4,Solid R,-4,-4
2012,AL,2,Currently Safe Republican,-4,Solid R,-4,-4
2012,AL,3,Currently Safe Republican,-4,Solid R,-4,-4
2012,AL,4,Currently Safe Republican,-4,Solid R,-4,-4
2012,AL,5,Currently Safe Republican,-4,Solid R,-4,-4
2012,AL,6,Currently Safe Republican,-4,Solid R,-4,-4
2012,AL,7,Currently Safe Democrat,4,Solid D,4,4
2012,AK,0,Currently Safe Republican,-4,Solid R,-4,-4
2012,AZ,1,Pure Toss-up,0,Tossup R,-1,-0.5
2012,AZ,2,Toss-up/Tilt Democrat,1,Lean D,2,1.5
2012,AZ,3,Currently Safe Democrat,4,Solid D,4,4
2012,AZ,4,Currently Safe Republican,-4,Solid R,-4,-4
2012,AZ,5,Currently Safe Republican,-4,Solid R,-4,-4
2012,AZ,6,Currently Safe Republican,-4,Solid R,-4,-4
2012,AZ,7,Currently Safe Democrat,4,Solid D,4,4
2012,AZ,8,Currently Safe Republican,-4,Solid R,-4,-4
2012,AZ,9,Toss-up/Tilt Democrat,1,Lean D,2,1.5
2012,AR,1,Currently Safe Republican,-4,Solid R,-4,-4
2012,AR,2,Currently Safe Republican,-4,Solid R,-4,-4
2012,AR,3,Currently Safe Republican,-4,Solid R,-4,-4
2012,AR,4,Currently Safe Republican,-4,Likely R,-3,-3.5
2012,CA,1,Currently Safe Republican,-4,Solid R,-4,-4
2012,CA,2,Currently Safe Democrat,4,Solid D,4,4
2012,CA,3,Currently Safe Democrat,4,Likely D,3,3.5
2012,CA,4,Currently Safe Republican,-4,Solid R,-4,-4
2012,CA,5,Currently Safe Democrat,4,Solid D,4,4
2012,CA,6,Currently Safe Democrat,4,Solid D,4,4
2012,CA,7,Pure Toss-up,0,Tossup R,-1,-0.5
2012,CA,8,Currently Safe Republican,-4,Solid R,-4,-4
2012,CA,9,Toss-up/Tilt Democrat,1,Tossup D,1,1
2012,CA,10,Toss-up/Tilt Republican,-1,Tossup R,-1,-1
2012,CA,11,Currently Safe Democrat,4,Solid D,4,4
2012,CA,12,Currently Safe Democrat,4,Solid D,4,4
2012,CA,13,Currently Safe Democrat,4,Solid D,4,4
2012,CA,14,Currently Safe Democrat,4,Solid D,4,4
2012,CA,15,Currently Safe Democrat,4,Solid D,4,4
