ConD,Cook Political Report,Inside Elections,Sabato's Crystal Ball,...5,cook_code,inside_code,crystal_code,avg_ratings_2018,year
CA-53,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CO-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CO-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CO-03,Likely Republican,Solid Republican,Lean Republican,NA,-3,-4,-2,-3,2018
CO-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
CO-05,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
CO-06,Lean Democratic,Tilt Democratic,Lean Democratic,NA,2,1,2,1.666666667,2018
CO-07,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CT-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CT-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CT-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CT-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CT-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
DE-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
FL-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
FL-02,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
FL-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
FL-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
FL-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
FL-06,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
FL-07,Likely Democratic,Solid Democratic,Likely Democratic,NA,3,4,3,3.333333333,2018
FL-08,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
FL-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
FL-10,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
FL-11,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
FL-12,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
FL-13,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
FL-14,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
FL-15,Toss-up,Tilt Republican,Lean Republican,NA,0,-1,-2,-1,2018
FL-16,Lean Republican,Likely Republican,Likely Republican,NA,-2,-3,-3,-2.666666667,2018
FL-17,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
FL-18,Lean Republican,Likely Republican,Lean Republican,NA,-2,-3,-2,-2.333333333,2018
FL-19,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
FL-20,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
FL-21,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
FL-22,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
FL-23,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
FL-24,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
FL-25,Lean Republican,Solid Republican,Likely Republican,NA,-2,-4,-3,-3,2018
FL-26,Toss-up,Toss-up,Lean Republican,NA,0,0,-2,-0.666666667,2018
FL-27,Lean Democratic,Lean Democratic,Lean Democratic,NA,2,2,2,2,2018
GA-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
GA-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
GA-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
GA-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
GA-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
GA-06,Toss-up,Lean Republican,Lean Republican,NA,0,-2,-2,-1.333333333,2018
GA-07,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
GA-08,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
GA-09,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
GA-10,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
GA-11,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
GA-12,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
GA-13,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
GA-14,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
HI-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
HI-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IA-01,Lean Democratic,Lean Democratic,Lean Democratic,NA,2,2,2,2,2018
IA-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IA-03,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
IA-04,Lean Republican,Likely Republican,Lean Republican,NA,-2,-3,-2,-2.333333333,2018
ID-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
ID-02,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
IL-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IL-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IL-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IL-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IL-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IL-06,Lean Democratic,Tilt Democratic,Lean Democratic,NA,2,1,2,1.666666667,2018
IL-07,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IL-08,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IL-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IL-10,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IL-11,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IL-12,Lean Republican,Tilt Republican,Lean Republican,NA,-2,-1,-2,-1.666666667,2018
IL-13,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
IL-14,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
IL-15,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
IL-16,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
IL-17,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IL-18,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
IN-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IN-02,Likely Republican,Likely Republican,Likely Republican,NA,-3,-3,-3,-3,2018
IN-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
IN-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
IN-05,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
IN-06,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
IN-07,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
IN-08,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
IN-09,Solid Republican,Solid Republican,Likely Republican,NA,-4,-4,-3,-3.666666667,2018
KS-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
KS-02,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
KS-03,Lean Democratic,Lean Democratic,Lean Democratic,NA,2,2,2,2,2018
KS-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
KY-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
KY-02,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
KY-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
KY-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
KY-05,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
KY-06,Toss-up,Toss-up,Lean Republican,NA,0,0,-2,-0.666666667,2018
LA-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
LA-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
LA-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
LA-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
LA-05,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
LA-06,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MA-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MA-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MA-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MA-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MA-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MA-06,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MA-07,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MA-08,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MA-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MD-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MD-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MD-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MD-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MD-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MD-06,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MD-07,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MD-08,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
ME-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
ME-02,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
MI-01,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
MI-02,Solid Republican,Solid Republican,Likely Republican,NA,-4,-4,-3,-3.666666667,2018
MI-03,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
MI-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MI-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MI-06,Lean Republican,Likely Republican,Lean Republican,NA,-2,-3,-2,-2.333333333,2018
MI-07,Likely Republican,Likely Republican,Likely Republican,NA,-3,-3,-3,-3,2018
MI-08,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
MI-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MI-10,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MI-11,Lean Democratic,Tilt Democratic,Lean Democratic,NA,2,1,2,1.666666667,2018
MI-12,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MI-13,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MI-14,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MN-01,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
MN-02,Lean Democratic,Tilt Democratic,Lean Democratic,NA,2,1,2,1.666666667,2018
MN-03,Lean Democratic,Tilt Democratic,Lean Democratic,NA,2,1,2,1.666666667,2018
MN-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MN-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MN-06,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MN-07,Likely Democratic,Solid Democratic,Likely Democratic,NA,3,4,3,3.333333333,2018
MN-08,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
MO-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MO-02,Lean Republican,Solid Republican,Likely Republican,NA,-2,-4,-3,-3,2018
MO-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MO-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MO-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MO-06,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MO-07,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MO-08,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MS-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MS-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
MS-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MS-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
MT-01,Lean Republican,Likely Republican,Lean Republican,NA,-2,-3,-2,-2.333333333,2018
NC-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NC-02,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
NC-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
NC-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NC-05,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
NC-06,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
NC-07,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
NC-08,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
NC-09,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
NC-10,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
NC-11,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
NC-12,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NC-13,Toss-up,Tilt Republican,Lean Republican,NA,0,-1,-2,-1,2018
ND-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
NE-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
NE-02,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
NE-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
NH-01,Likely Democratic,Lean Democratic,Likely Democratic,NA,3,2,3,2.666666667,2018
NH-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NJ-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NJ-02,Likely Democratic,Likely Democratic,Safe Democratic,NA,3,3,4,3.333333333,2018
NJ-03,Toss-up,Tilt Democratic,Lean Democratic,NA,0,1,2,1,2018
NJ-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
NJ-05,Likely Democratic,Solid Democratic,Likely Democratic,NA,3,4,3,3.333333333,2018
NJ-06,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NJ-07,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
NJ-08,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NJ-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NJ-10,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NJ-11,Lean Democratic,Lean Democratic,Lean Democratic,NA,2,2,2,2,2018
NJ-12,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NM-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NM-02,Toss-up,Tilt Republican,Lean Democratic,NA,0,-1,2,0.333333333,2018
NM-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NV-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NV-02,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
NV-03,Lean Democratic,Tilt Democratic,Lean Democratic,NA,2,1,2,1.666666667,2018
NV-04,Lean Democratic,Lean Democratic,Likely Democratic,NA,2,2,3,2.333333333,2018
NY-01,Likely Republican,Solid Republican,Lean Republican,NA,-3,-4,-2,-3,2018
NY-02,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
NY-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-06,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-07,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-08,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-10,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-11,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
NY-12,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-13,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-14,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-15,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-16,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-17,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-18,Solid Democratic,Solid Democratic,Likely Democratic,NA,4,4,3,3.666666667,2018
NY-19,Toss-up,Tilt Democratic,Lean Democratic,NA,0,1,2,1,2018
NY-20,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-21,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
NY-22,Toss-up,Tilt Democratic,Lean Democratic,NA,0,1,2,1,2018
NY-23,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
NY-24,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
NY-25,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-26,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
NY-27,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
OH-01,Lean Republican,Tilt Republican,Lean Republican,NA,-2,-1,-2,-1.666666667,2018
OH-02,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
OH-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
OH-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
OH-05,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
OH-06,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
OH-07,Solid Republican,Solid Republican,Likely Republican,NA,-4,-4,-3,-3.666666667,2018
OH-08,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
OH-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
OH-10,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
OH-11,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
OH-12,Toss-up,Toss-up,Lean Republican,NA,0,0,-2,-0.666666667,2018
OH-13,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
OH-14,Likely Republican,Likely Republican,Lean Republican,NA,-3,-3,-2,-2.666666667,2018
OH-15,Solid Republican,Solid Republican,Likely Republican,NA,-4,-4,-3,-3.666666667,2018
OH-16,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
