District,Cook Political Report,Inside Elections,Sabato's Crystal Ball,
CA-32,Solid Democratic,Solid Democratic,Safe Democratic,
CA-33,Solid Democratic,Solid Democratic,Safe Democratic,
CA-34,Solid Democratic,Solid Democratic,Safe Democratic,
CA-35,Solid Democratic,Solid Democratic,Safe Democratic,
CA-36,Solid Democratic,Solid Democratic,Safe Democratic,
CA-37,Solid Democratic,Solid Democratic,Safe Democratic,
CA-38,Solid Democratic,Solid Democratic,Safe Democratic,
CA-39,Toss-up,Toss-up,Lean Republican,
CA-40,Solid Democratic,Solid Democratic,Safe Democratic,
CA-41,Solid Democratic,Solid Democratic,Safe Democratic,
CA-42,Solid Republican,Solid Republican,Safe Republican,
CA-43,Solid Democratic,Solid Democratic,Safe Democratic,
CA-44,Solid Democratic,Solid Democratic,Safe Democratic,
CA-45,Toss-up,Toss-up,Lean Democratic,
CA-46,Solid Democratic,Solid Democratic,Safe Democratic,
CA-47,Solid Democratic,Solid Democratic,Safe Democratic,
CA-48,Toss-up,Tilt Democratic,Lean Democratic,
CA-49,Lean Democratic,Lean Democratic,Likely Democratic,
CA-50,Lean Republican,Lean Republican,Lean Republican,
CA-51,Solid Democratic,Solid Democratic,Safe Democratic,
CA-52,Solid Democratic,Solid Democratic,Safe Democratic,
CA-53,Solid Democratic,Solid Democratic,Safe Democratic,
CO-01,Solid Democratic,Solid Democratic,Safe Democratic,
CO-02,Solid Democratic,Solid Democratic,Safe Democratic,
CO-03,Likely Republican,Solid Republican,Lean Republican,
CO-04,Solid Republican,Solid Republican,Safe Republican,
CO-05,Solid Republican,Solid Republican,Safe Republican,
CO-06,Lean Democratic,Tilt Democratic,Lean Democratic,
CO-07,Solid Democratic,Solid Democratic,Safe Democratic,
CT-01,Solid Democratic,Solid Democratic,Safe Democratic,
CT-02,Solid Democratic,Solid Democratic,Safe Democratic,
CT-03,Solid Democratic,Solid Democratic,Safe Democratic,
CT-04,Solid Democratic,Solid Democratic,Safe Democratic,
CT-05,Solid Democratic,Solid Democratic,Safe Democratic,
DE-01,Solid Democratic,Solid Democratic,Safe Democratic,
FL-01,Solid Republican,Solid Republican,Safe Republican,
FL-02,Solid Republican,Solid Republican,Safe Republican,
FL-03,Solid Republican,Solid Republican,Safe Republican,
FL-04,Solid Republican,Solid Republican,Safe Republican,
FL-05,Solid Democratic,Solid Democratic,Safe Democratic,
FL-06,Lean Republican,Lean Republican,Lean Republican,
FL-07,Likely Democratic,Solid Democratic,Likely Democratic,
FL-08,Solid Republican,Solid Republican,Safe Republican,
FL-09,Solid Democratic,Solid Democratic,Safe Democratic,
FL-10,Solid Democratic,Solid Democratic,Safe Democratic,
FL-11,Solid Republican,Solid Republican,Safe Republican,
FL-12,Solid Republican,Solid Republican,Safe Republican,
FL-13,Solid Democratic,Solid Democratic,Safe Democratic,
FL-14,Solid Democratic,Solid Democratic,Safe Democratic,
FL-15,Toss-up,Tilt Republican,Lean Republican,
FL-16,Lean Republican,Likely Republican,Likely Republican,
FL-17,Solid Republican,Solid Republican,Safe Republican,
FL-18,Lean Republican,Likely Republican,Lean Republican,
FL-19,Solid Republican,Solid Republican,Safe Republican,
FL-20,Solid Democratic,Solid Democratic,Safe Democratic,
FL-21,Solid Democratic,Solid Democratic,Safe Democratic,
FL-22,Solid Democratic,Solid Democratic,Safe Democratic,
FL-23,Solid Democratic,Solid Democratic,Safe Democratic,
FL-24,Solid Democratic,Solid Democratic,Safe Democratic,
FL-25,Lean Republican,Solid Republican,Likely Republican,
FL-26,Toss-up,Toss-up,Lean Republican,
FL-27,Lean Democratic,Lean Democratic,Lean Democratic,
GA-01,Solid Republican,Solid Republican,Safe Republican,
GA-02,Solid Democratic,Solid Democratic,Safe Democratic,
GA-03,Solid Republican,Solid Republican,Safe Republican,
GA-04,Solid Democratic,Solid Democratic,Safe Democratic,
GA-05,Solid Democratic,Solid Democratic,Safe Democratic,
GA-06,Toss-up,Lean Republican,Lean Republican,
GA-07,Lean Republican,Lean Republican,Lean Republican,
GA-08,Solid Republican,Solid Republican,Safe Republican,
GA-09,Solid Republican,Solid Republican,Safe Republican,
GA-10,Solid Republican,Solid Republican,Safe Republican,
GA-11,Solid Republican,Solid Republican,Safe Republican,
GA-12,Solid Republican,Solid Republican,Safe Republican,
GA-13,Solid Democratic,Solid Democratic,Safe Democratic,
GA-14,Solid Republican,Solid Republican,Safe Republican,
HI-01,Solid Democratic,Solid Democratic,Safe Democratic,
HI-02,Solid Democratic,Solid Democratic,Safe Democratic,
IA-01,Lean Democratic,Lean Democratic,Lean Democratic,
IA-02,Solid Democratic,Solid Democratic,Safe Democratic,
IA-03,Toss-up,Toss-up,Lean Democratic,
IA-04,Lean Republican,Likely Republican,Lean Republican,
ID-01,Solid Republican,Solid Republican,Safe Republican,
ID-02,Solid Republican,Solid Republican,Safe Republican,
IL-01,Solid Democratic,Solid Democratic,Safe Democratic,
IL-02,Solid Democratic,Solid Democratic,Safe Democratic,
IL-03,Solid Democratic,Solid Democratic,Safe Democratic,
IL-04,Solid Democratic,Solid Democratic,Safe Democratic,
IL-05,Solid Democratic,Solid Democratic,Safe Democratic,
IL-06,Lean Democratic,Tilt Democratic,Lean Democratic,
IL-07,Solid Democratic,Solid Democratic,Safe Democratic,
IL-08,Solid Democratic,Solid Democratic,Safe Democratic,
IL-09,Solid Democratic,Solid Democratic,Safe Democratic,
IL-10,Solid Democratic,Solid Democratic,Safe Democratic,
IL-11,Solid Democratic,Solid Democratic,Safe Democratic,
IL-12,Lean Republican,Tilt Republican,Lean Republican,
IL-13,Lean Republican,Lean Republican,Lean Republican,
IL-14,Toss-up,Toss-up,Lean Democratic,
IL-15,Solid Republican,Solid Republican,Safe Republican,
IL-16,Solid Republican,Solid Republican,Safe Republican,
IL-17,Solid Democratic,Solid Democratic,Safe Democratic,
IL-18,Solid Republican,Solid Republican,Safe Republican,
IN-01,Solid Democratic,Solid Democratic,Safe Democratic,
IN-02,Likely Republican,Likely Republican,Likely Republican,
IN-03,Solid Republican,Solid Republican,Safe Republican,
IN-04,Solid Republican,Solid Republican,Safe Republican,
IN-05,Solid Republican,Solid Republican,Safe Republican,
IN-06,Solid Republican,Solid Republican,Safe Republican,
IN-07,Solid Democratic,Solid Democratic,Safe Democratic,
IN-08,Solid Republican,Solid Republican,Safe Republican,
IN-09,Solid Republican,Solid Republican,Likely Republican,
KS-01,Solid Republican,Solid Republican,Safe Republican,
KS-02,Toss-up,Toss-up,Lean Democratic,
KS-03,Lean Democratic,Lean Democratic,Lean Democratic,
KS-04,Solid Republican,Solid Republican,Safe Republican,
KY-01,Solid Republican,Solid Republican,Safe Republican,
KY-02,Solid Republican,Solid Republican,Safe Republican,
KY-03,Solid Democratic,Solid Democratic,Safe Democratic,
KY-04,Solid Republican,Solid Republican,Safe Republican,
KY-05,Solid Republican,Solid Republican,Safe Republican,
KY-06,Toss-up,Toss-up,Lean Republican,
LA-01,Solid Republican,Solid Republican,Safe Republican,
LA-02,Solid Democratic,Solid Democratic,Safe Democratic,
LA-03,Solid Republican,Solid Republican,Safe Republican,
LA-04,Solid Republican,Solid Republican,Safe Republican,
LA-05,Solid Republican,Solid Republican,Safe Republican,
LA-06,Solid Republican,Solid Republican,Safe Republican,
MA-01,Solid Democratic,Solid Democratic,Safe Democratic,
MA-02,Solid Democratic,Solid Democratic,Safe Democratic,
MA-03,Solid Democratic,Solid Democratic,Safe Democratic,
MA-04,Solid Democratic,Solid Democratic,Safe Democratic,
MA-05,Solid Democratic,Solid Democratic,Safe Democratic,
MA-06,Solid Democratic,Solid Democratic,Safe Democratic,
MA-07,Solid Democratic,Solid Democratic,Safe Democratic,
MA-08,Solid Democratic,Solid Democratic,Safe Democratic,
MA-09,Solid Democratic,Solid Democratic,Safe Democratic,
MD-01,Solid Republican,Solid Republican,Safe Republican,
MD-02,Solid Democratic,Solid Democratic,Safe Democratic,
MD-03,Solid Democratic,Solid Democratic,Safe Democratic,
MD-04,Solid Democratic,Solid Democratic,Safe Democratic,
MD-05,Solid Democratic,Solid Democratic,Safe Democratic,
MD-06,Solid Democratic,Solid Democratic,Safe Democratic,
MD-07,Solid Democratic,Solid Democratic,Safe Democratic,
MD-08,Solid Democratic,Solid Democratic,Safe Democratic,
ME-01,Solid Democratic,Solid Democratic,Safe Democratic,
ME-02,Toss-up,Toss-up,Lean Democratic,
MI-01,Likely Republican,Solid Republican,Likely Republican,
MI-02,Solid Republican,Solid Republican,Likely Republican,
MI-03,Likely Republican,Solid Republican,Likely Republican,
MI-04,Solid Republican,Solid Republican,Safe Republican,
MI-05,Solid Democratic,Solid Democratic,Safe Democratic,
MI-06,Lean Republican,Likely Republican,Lean Republican,
MI-07,Likely Republican,Likely Republican,Likely Republican,
MI-08,Toss-up,Toss-up,Lean Democratic,
MI-09,Solid Democratic,Solid Democratic,Safe Democratic,
MI-10,Solid Republican,Solid Republican,Safe Republican,
MI-11,Lean Democratic,Tilt Democratic,Lean Democratic,
MI-12,Solid Democratic,Solid Democratic,Safe Democratic,
MI-13,Solid Democratic,Solid Democratic,Safe Democratic,
MI-14,Solid Democratic,Solid Democratic,Safe Democratic,
MN-01,Toss-up,Toss-up,Lean Democratic,
MN-02,Lean Democratic,Tilt Democratic,Lean Democratic,
MN-03,Lean Democratic,Tilt Democratic,Lean Democratic,
MN-04,Solid Democratic,Solid Democratic,Safe Democratic,
MN-05,Solid Democratic,Solid Democratic,Safe Democratic,
MN-06,Solid Republican,Solid Republican,Safe Republican,
MN-07,Likely Democratic,Solid Democratic,Likely Democratic,
MN-08,Lean Republican,Lean Republican,Lean Republican,
MO-01,Solid Democratic,Solid Democratic,Safe Democratic,
MO-02,Lean Republican,Solid Republican,Likely Republican,
MO-03,Solid Republican,Solid Republican,Safe Republican,
MO-04,Solid Republican,Solid Republican,Safe Republican,
MO-05,Solid Democratic,Solid Democratic,Safe Democratic,
MO-06,Solid Republican,Solid Republican,Safe Republican,
MO-07,Solid Republican,Solid Republican,Safe Republican,
MO-08,Solid Republican,Solid Republican,Safe Republican,
MS-01,Solid Republican,Solid Republican,Safe Republican,
MS-02,Solid Democratic,Solid Democratic,Safe Democratic,
MS-03,Solid Republican,Solid Republican,Safe Republican,
MS-04,Solid Republican,Solid Republican,Safe Republican,
MT-01,Lean Republican,Likely Republican,Lean Republican,
NC-01,Solid Democratic,Solid Democratic,Safe Democratic,
NC-02,Lean Republican,Lean Republican,Lean Republican,
NC-03,Solid Republican,Solid Republican,Safe Republican,
NC-04,Solid Democratic,Solid Democratic,Safe Democratic,
NC-05,Solid Republican,Solid Republican,Safe Republican,
NC-06,Solid Republican,Solid Republican,Safe Republican,
NC-07,Solid Republican,Solid Republican,Safe Republican,
NC-08,Likely Republican,Solid Republican,Likely Republican,
NC-09,Toss-up,Toss-up,Lean Democratic,
NC-10,Solid Republican,Solid Republican,Safe Republican,
NC-11,Solid Republican,Solid Republican,Safe Republican,
NC-12,Solid Democratic,Solid Democratic,Safe Democratic,
NC-13,Toss-up,Tilt Republican,Lean Republican,
ND-01,Solid Republican,Solid Republican,Safe Republican,
NE-01,Solid Republican,Solid Republican,Safe Republican,
NE-02,Lean Republican,Lean Republican,Lean Republican,
NE-03,Solid Republican,Solid Republican,Safe Republican,
NH-01,Likely Democratic,Lean Democratic,Likely Democratic,
NH-02,Solid Democratic,Solid Democratic,Safe Democratic,
NJ-01,Solid Democratic,Solid Democratic,Safe Democratic,
NJ-02,Likely Democratic,Likely Democratic,Safe Democratic,
NJ-03,Toss-up,Tilt Democratic,Lean Democratic,
NJ-04,Solid Republican,Solid Republican,Safe Republican,
NJ-05,Likely Democratic,Solid Democratic,Likely Democratic,
NJ-06,Solid Democratic,Solid Democratic,Safe Democratic,
NJ-07,Toss-up,Toss-up,Lean Democratic,
NJ-08,Solid Democratic,Solid Democratic,Safe Democratic,
NJ-09,Solid Democratic,Solid Democratic,Safe Democratic,
NJ-10,Solid Democratic,Solid Democratic,Safe Democratic,
NJ-11,Lean Democratic,Lean Democratic,Lean Democratic,
NJ-12,Solid Democratic,Solid Democratic,Safe Democratic,
NM-01,Solid Democratic,Solid Democratic,Safe Democratic,
NM-02,Toss-up,Tilt Republican,Lean Democratic,
NM-03,Solid Democratic,Solid Democratic,Safe Democratic,
NV-01,Solid Democratic,Solid Democratic,Safe Democratic,
NV-02,Solid Republican,Solid Republican,Safe Republican,
NV-03,Lean Democratic,Tilt Democratic,Lean Democratic,
NV-04,Lean Democratic,Lean Democratic,Likely Democratic,
NY-01,Likely Republican,Solid Republican,Lean Republican,
NY-02,Likely Republican,Solid Republican,Likely Republican,
NY-03,Solid Democratic,Solid Democratic,Safe Democratic,
NY-04,Solid Democratic,Solid Democratic,Safe Democratic,
NY-05,Solid Democratic,Solid Democratic,Safe Democratic,
NY-06,Solid Democratic,Solid Democratic,Safe Democratic,
NY-07,Solid Democratic,Solid Democratic,Safe Democratic,
NY-08,Solid Democratic,Solid Democratic,Safe Democratic,
NY-09,Solid Democratic,Solid Democratic,Safe Democratic,
NY-10,Solid Democratic,Solid Democratic,Safe Democratic,
NY-11,Lean Republican,Lean Republican,Lean Republican,
NY-12,Solid Democratic,Solid Democratic,Safe Democratic,
NY-13,Solid Democratic,Solid Democratic,Safe Democratic,
NY-14,Solid Democratic,Solid Democratic,Safe Democratic,
NY-15,Solid Democratic,Solid Democratic,Safe Democratic,
NY-16,Solid Democratic,Solid Democratic,Safe Democratic,
NY-17,Solid Democratic,Solid Democratic,Safe Democratic,
NY-18,Solid Democratic,Solid Democratic,Likely Democratic,
NY-19,Toss-up,Tilt Democratic,Lean Democratic,
NY-20,Solid Democratic,Solid Democratic,Safe Democratic,
NY-21,Likely Republican,Solid Republican,Likely Republican,
NY-22,Toss-up,Tilt Democratic,Lean Democratic,
NY-23,Likely Republican,Solid Republican,Likely Republican,
NY-24,Lean Republican,Lean Republican,Lean Republican,
NY-25,Solid Democratic,Solid Democratic,Safe Democratic,
NY-26,Solid Democratic,Solid Democratic,Safe Democratic,
NY-27,Lean Republican,Lean Republican,Lean Republican,
OH-01,Lean Republican,Tilt Republican,Lean Republican,
OH-02,Solid Republican,Solid Republican,Safe Republican,
OH-03,Solid Democratic,Solid Democratic,Safe Democratic,
OH-04,Solid Republican,Solid Republican,Safe Republican,
OH-05,Solid Republican,Solid Republican,Safe Republican,
OH-06,Solid Republican,Solid Republican,Safe Republican,
OH-07,Solid Republican,Solid Republican,Likely Republican,
OH-08,Solid Republican,Solid Republican,Safe Republican,
OH-09,Solid Democratic,Solid Democratic,Safe Democratic,
OH-10,Likely Republican,Solid Republican,Likely Republican,
OH-11,Solid Democratic,Solid Democratic,Safe Democratic,
OH-12,Toss-up,Toss-up,Lean Republican,
OH-13,Solid Democratic,Solid Democratic,Safe Democratic,
OH-14,Likely Republican,Likely Republican,Lean Republican,
OH-15,Solid Republican,Solid Republican,Likely Republican,
OH-16,Solid Republican,Solid Republican,Safe Republican,
OK-01,Solid Republican,Solid Republican,Safe Republican,
OK-02,Solid Republican,Solid Republican,Safe Republican,
OK-03,Solid Republican,Solid Republican,Safe Republican,
OK-04,Solid Republican,Solid Republican,Safe Republican,
OK-05,Likely Republican,Solid Republican,Likely Republican,
OR-01,Solid Democratic,Solid Democratic,Safe Democratic,
OR-02,Solid Republican,Solid Republican,Safe Republican,
OR-03,Solid Democratic,Solid Democratic,Safe Democratic,
OR-04,Solid Democratic,Solid Democratic,Safe Democratic,
OR-05,Solid Democratic,Solid Democratic,Safe Democratic,
PA-01,Toss-up,Toss-up,Lean Republican,
PA-02,Solid Democratic,Solid Democratic,Safe Democratic,
PA-03,Solid Democratic,Solid Democratic,Safe Democratic,
PA-04,Solid Democratic,Solid Democratic,Safe Democratic,
PA-05,Likely Democratic,Likely Democratic,Safe Democratic,
PA-06,Likely Democratic,Likely Democratic,Safe Democratic,
PA-07,Lean Democratic,Lean Democratic,Lean Democratic,
PA-08,Likely Democratic,Lean Democratic,Likely Democratic,
PA-09,Solid Republican,Solid Republican,Safe Republican,
PA-10,Toss-up,Lean Republican,Lean Republican,
PA-11,Solid Republican,Solid Republican,Safe Republican,
PA-12,Solid Republican,Solid Republican,Safe Republican,
PA-13,Solid Republican,Solid Republican,Safe Republican,
PA-14,Likely Republican,Likely Republican,Safe Republican,
PA-15,Solid Republican,Solid Republican,Safe Republican,
PA-16,Lean Republican,Likely Republican,Lean Republican,
PA-17,Likely Democratic,Lean Democratic,Likely Democratic,
PA-18,Solid Democratic,Solid Democratic,Safe Democratic,
RI-01,Solid Democratic,Solid Democratic,Safe Democratic,
RI-02,Solid Democratic,Solid Democratic,Safe Democratic,
SC-01,Lean Republican,Likely Republican,Lean Republican,
SC-02,Solid Republican,Solid Republican,Safe Republican,
SC-03,Solid Republican,Solid Republican,Safe Republican,
SC-04,Solid Republican,Solid Republican,Safe Republican,
SC-05,Solid Republican,Solid Republican,Safe Republican,
SC-06,Solid Democratic,Solid Democratic,Safe Democratic,
SC-07,Solid Republican,Solid Republican,Safe Republican,
SD-01,Solid Republican,Solid Republican,Safe Republican,
TN-01,Solid Republican,Solid Republican,Safe Republican,
TN-02,Solid Republican,Solid Republican,Safe Republican,
TN-03,Solid Republican,Solid Republican,Safe Republican,
TN-04,Solid Republican,Solid Republican,Safe Republican,
TN-05,Solid Democratic,Solid Democratic,Safe Democratic,
TN-06,Solid Republican,Solid Republican,Safe Republican,
TN-07,Solid Republican,Solid Republican,Safe Republican,
TN-08,Solid Republican,Solid Republican,Safe Republican,
TN-09,Solid Democratic,Solid Democratic,Safe Democratic,
TX-01,Solid Republican,Solid Republican,Safe Republican,
TX-02,Likely Republican,Solid Republican,Likely Republican,
TX-03,Solid Republican,Solid Republican,Safe Republican,
TX-04,Solid Republican,Solid Republican,Safe Republican,
TX-05,Solid Republican,Solid Republican,Safe Republican,
TX-06,Likely Republican,Solid Republican,Likely Republican,
TX-07,Toss-up,Tilt Republican,Lean Republican,
TX-08,Solid Republican,Solid Republican,Safe Republican,
TX-09,Solid Democratic,Solid Democratic,Safe Democratic,
TX-10,Likely Republican,Solid Republican,Safe Republican,
TX-11,Solid Republican,Solid Republican,Safe Republican,
TX-12,Solid Republican,Solid Republican,Safe Republican,
TX-13,Solid Republican,Solid Republican,Safe Republican,
TX-14,Solid Republican,Solid Republican,Safe Republican,
TX-15,Solid Democratic,Solid Democratic,Safe Democratic,
TX-16,Solid Democratic,Solid Democratic,Safe Democratic,
TX-17,Solid Republican,Solid Republican,Safe Republican,
TX-18,Solid Democratic,Solid Democratic,Safe Democratic,
TX-19,Solid Republican,Solid Republican,Safe Republican,
TX-20,Solid Democratic,Solid Democratic,Safe Democratic,
TX-21,Likely Republican,Likely Republican,Likely Republican,
TX-22,Lean Republican,Solid Republican,Likely Republican,
TX-23,Lean Republican,Lean Republican,Lean Republican,
TX-24,Likely Republican,Solid Republican,Safe Republican,
TX-25,Solid Republican,Solid Republican,Safe Republican,
TX-26,Solid Republican,Solid Republican,Safe Republican,
TX-27,Solid Republican,Solid Republican,Safe Republican,
TX-28,Solid Democratic,Solid Democratic,Safe Democratic,
TX-29,Solid Democratic,Solid Democratic,Safe Democratic,
TX-30,Solid Democratic,Solid Democratic,Safe Democratic,
TX-31,Likely Republican,Likely Republican,Likely Republican,
TX-32,Toss-up,Toss-up,Lean Democratic,
TX-33,Solid Democratic,Solid Democratic,Safe Democratic,
TX-34,Solid Democratic,Solid Democratic,Safe Democratic,
TX-35,Solid Democratic,Solid Democratic,Safe Democratic,
TX-36,Solid Republican,Solid Republican,Safe Republican,
UT-01,Solid Republican,Solid Republican,Safe Republican,
UT-02,Solid Republican,Solid Republican,Safe Republican,
UT-03,Solid Republican,Solid Republican,Safe Republican,
UT-04,Toss-up,Toss-up,Lean Democratic,
VA-01,Solid Republican,Solid Republican,Safe Republican,
VA-02,Toss-up,Tilt Republican,Lean Democratic,
VA-03,Solid Democratic,Solid Democratic,Safe Democratic,
VA-04,Solid Democratic,Solid Democratic,Safe Democratic,
VA-05,Lean Republican,Likely Republican,Lean Republican,
VA-06,Solid Republican,Solid Republican,Safe Republican,
VA-07,Toss-up,Toss-up,Lean Democratic,
VA-08,Solid Democratic,Solid Democratic,Safe Democratic,
VA-09,Solid Republican,Solid Republican,Safe Republican,
VA-10,Lean Democratic,Tilt Democratic,Lean Democratic,
VA-11,Solid Democratic,Solid Democratic,Safe Democratic,
VT-01,Solid Democratic,Solid Democratic,Safe Democratic,
WA-01,Solid Democratic,Solid Democratic,Safe Democratic,
WA-02,Solid Democratic,Solid Democratic,Safe Democratic,
WA-03,Lean Republican,Likely Republican,Lean Republican,
WA-04,Solid Republican,Solid Republican,Safe Republican,
WA-05,Lean Republican,Likely Republican,Lean Republican,
WA-06,Solid Democratic,Solid Democratic,Safe Democratic,
WA-07,Solid Democratic,Solid Democratic,Safe Democratic,
WA-08,Lean Democratic,Toss-up,Lean Democratic,
WA-09,Solid Democratic,Solid Democratic,Safe Democratic,
WA-10,Solid Democratic,Solid Democratic,Safe Democratic,
WI-01,Lean Republican,Lean Republican,Lean Republican,
WI-02,Solid Democratic,Solid Democratic,Safe Democratic,
WI-03,Solid Democratic,Solid Democratic,Safe Democratic,
WI-04,Solid Democratic,Solid Democratic,Safe Democratic,
WI-05,Solid Republican,Solid Republican,Safe Republican,
WI-06,Likely Republican,Solid Republican,Likely Republican,
WI-07,Solid Republican,Solid Republican,Safe Republican,
WI-08,Solid Republican,Solid Republican,Safe Republican,
WV-01,Solid Republican,Solid Republican,Safe Republican,
WV-02,Likely Republican,Solid Republican,Safe Republican,
WV-03,Lean Republican,Lean Republican,Lean Republican,
WY-01,Solid Republican,Solid Republican,Safe Republican,
