District,Cook Political Report,Inside Elections,Sabato's Crystal Ball
FL-25,Solid Democratic,Solid Democratic,Safe Democratic
FL-26,Solid Republican,Solid Republican,Safe Republican
FL-27,Lean Republican,Likely Republican,Likely Republican
FL-28,Solid Republican,Solid Republican,Safe Republican
GA-01,Solid Republican,Solid Republican,Safe Republican
GA-02,Likely Democratic,Solid Democratic,Likely Democratic
GA-03,Solid Republican,Solid Republican,Safe Republican
GA-04,Solid Democratic,Solid Democratic,Safe Democratic
GA-05,Solid Democratic,Solid Democratic,Safe Democratic
GA-06,Solid Republican,Likely Republican,Safe Republican
GA-07,Solid Democratic,Solid Democratic,Safe Democratic
GA-08,Solid Republican,Solid Republican,Safe Republican
GA-09,Solid Republican,Solid Republican,Safe Republican
GA-10,Solid Republican,Solid Republican,Safe Republican
GA-11,Solid Republican,Solid Republican,Safe Republican
GA-12,Solid Republican,Solid Republican,Safe Republican
GA-13,Solid Democratic,Solid Democratic,Safe Democratic
GA-14,Solid Republican,Solid Republican,Safe Republican
HI-01,Solid Democratic,Solid Democratic,Safe Democratic
HI-02,Solid Democratic,Solid Democratic,Safe Democratic
IA-01,Lean Republican,Lean Republican,Likely Republican
IA-02,Lean Republican,Tilt Republican,Likely Republican
IA-03,Lean Republican,Toss-up,Lean Republican
IA-04,Solid Republican,Solid Republican,Safe Republican
ID-01,Solid Republican,Solid Republican,Safe Republican
ID-02,Solid Republican,Solid Republican,Safe Republican
IL-01,Solid Democratic,Solid Democratic,Safe Democratic
IL-02,Solid Democratic,Solid Democratic,Safe Democratic
IL-03,Solid Democratic,Solid Democratic,Safe Democratic
IL-04,Solid Democratic,Solid Democratic,Safe Democratic
IL-05,Solid Democratic,Solid Democratic,Safe Democratic
IL-06,Lean Democratic,Likely Democratic,Likely Democratic
IL-07,Solid Democratic,Solid Democratic,Safe Democratic
IL-08,Solid Democratic,Solid Democratic,Safe Democratic
IL-09,Solid Democratic,Solid Democratic,Safe Democratic
IL-10,Solid Democratic,Solid Democratic,Safe Democratic
IL-11,Likely Democratic,Solid Democratic,Likely Democratic
IL-12,Solid Republican,Solid Republican,Safe Republican
IL-13,Lean Democratic,Lean Democratic,Lean Democratic
IL-14,Lean Democratic,Likely Democratic,Lean Democratic
IL-15,Solid Republican,Solid Republican,Safe Republican
IL-16,Solid Republican,Solid Republican,Safe Republican
IL-17,Toss-up,Tilt Democratic,Toss-up
IN-01,Toss-up,Lean Democratic,Toss-up
IN-02,Solid Republican,Solid Republican,Safe Republican
IN-03,Solid Republican,Solid Republican,Safe Republican
IN-04,Solid Republican,Solid Republican,Safe Republican
IN-05,Solid Republican,Solid Republican,Safe Republican
IN-06,Solid Republican,Solid Republican,Safe Republican
IN-07,Solid Democratic,Solid Democratic,Safe Democratic
IN-08,Solid Republican,Solid Republican,Safe Republican
IN-09,Solid Republican,Solid Republican,Safe Republican
KS-01,Solid Republican,Solid Republican,Safe Republican
KS-02,Solid Republican,Solid Republican,Safe Republican
KS-03,Lean Democratic,Tilt Democratic,Toss-up
KS-04,Solid Republican,Solid Republican,Safe Republican
KY-01,Solid Republican,Solid Republican,Safe Republican
KY-02,Solid Republican,Solid Republican,Safe Republican
KY-03,Solid Democratic,Solid Democratic,Safe Democratic
KY-04,Solid Republican,Solid Republican,Safe Republican
KY-05,Solid Republican,Solid Republican,Safe Republican
KY-06,Solid Republican,Solid Republican,Safe Republican
LA-01,Solid Republican,Solid Republican,Safe Republican
LA-02,Solid Democratic,Solid Democratic,Safe Democratic
LA-03,Solid Republican,Solid Republican,Safe Republican
LA-04,Solid Republican,Solid Republican,Safe Republican
LA-05,Solid Republican,Solid Republican,Safe Republican
LA-06,Solid Republican,Solid Republican,Safe Republican
MA-01,Solid Democratic,Solid Democratic,Safe Democratic
MA-02,Solid Democratic,Solid Democratic,Safe Democratic
MA-03,Solid Democratic,Solid Democratic,Safe Democratic
MA-04,Solid Democratic,Solid Democratic,Safe Democratic
MA-05,Solid Democratic,Solid Democratic,Safe Democratic
MA-06,Solid Democratic,Solid Democratic,Safe Democratic
MA-07,Solid Democratic,Solid Democratic,Safe Democratic
MA-08,Solid Democratic,Solid Democratic,Safe Democratic
MA-09,Solid Democratic,Solid Democratic,Safe Democratic
MD-01,Solid Republican,Solid Republican,Safe Republican
MD-02,Solid Democratic,Solid Democratic,Safe Democratic
MD-03,Solid Democratic,Solid Democratic,Safe Democratic
MD-04,Solid Democratic,Solid Democratic,Safe Democratic
MD-05,Solid Democratic,Solid Democratic,Safe Democratic
MD-06,Likely Democratic,Likely Democratic,Lean Democratic
MD-07,Solid Democratic,Solid Democratic,Safe Democratic
MD-08,Solid Democratic,Solid Democratic,Safe Democratic
ME-01,Solid Democratic,Solid Democratic,Safe Democratic
ME-02,Toss-up,Tilt Democratic,Toss-up
MI-01,Solid Republican,Solid Republican,Safe Republican
MI-02,Solid Republican,Solid Republican,Safe Republican
MI-03,Lean Democratic,Lean Democratic,Lean Democratic
MI-04,Solid Republican,Solid Republican,Safe Republican
MI-05,Solid Republican,Solid Republican,Safe Republican
MI-06,Solid Democratic,Solid Democratic,Safe Democratic
MI-07,Toss-up,Tilt Democratic,Toss-up
MI-08,Lean Democratic,Lean Democratic,Toss-up
MI-09,Solid Republican,Solid Republican,Safe Republican
MI-10,Likely Republican,Lean Republican,Lean Republican
MI-11,Solid Democratic,Solid Democratic,Safe Democratic
MI-12,Solid Democratic,Solid Democratic,Safe Democratic
MI-13,Solid Democratic,Solid Democratic,Safe Democratic
MN-01,Likely Republican,Solid Republican,Likely Republican
MN-02,Toss-up,Toss-up,Toss-up
MN-03,Solid Democratic,Solid Democratic,Safe Democratic
MN-04,Solid Democratic,Solid Democratic,Safe Democratic
MN-05,Solid Democratic,Solid Democratic,Safe Democratic
MN-06,Solid Republican,Solid Republican,Safe Republican
MN-07,Solid Republican,Solid Republican,Safe Republican
MN-08,Solid Republican,Solid Republican,Safe Republican
MO-01,Solid Democratic,Solid Democratic,Safe Democratic
MO-02,Solid Republican,Solid Republican,Safe Republican
MO-03,Solid Republican,Solid Republican,Safe Republican
MO-04,Solid Republican,Solid Republican,Safe Republican
MO-05,Solid Democratic,Solid Democratic,Safe Democratic
MO-06,Solid Republican,Solid Republican,Safe Republican
MO-07,Solid Republican,Solid Republican,Safe Republican
MO-08,Solid Republican,Solid Republican,Safe Republican
MS-01,Solid Republican,Solid Republican,Safe Republican
MS-02,Solid Democratic,Solid Democratic,Safe Democratic
MS-03,Solid Republican,Solid Republican,Safe Republican
MS-04,Solid Republican,Solid Republican,Safe Republican
MT-01,Lean Republican,Lean Republican,Lean Republican
MT-02,Solid Republican,Solid Republican,Safe Republican
NC-01,Likely Democratic,Likely Democratic,Lean Democratic
NC-02,Solid Democratic,Solid Democratic,Safe Democratic
NC-03,Solid Republican,Solid Republican,Safe Republican
NC-04,Solid Democratic,Solid Democratic,Safe Democratic
NC-05,Solid Republican,Solid Republican,Safe Republican
NC-06,Likely Democratic,Solid Democratic,Likely Democratic
NC-07,Solid Republican,Solid Republican,Safe Republican
NC-08,Solid Republican,Solid Republican,Safe Republican
NC-09,Solid Republican,Solid Republican,Safe Republican
NC-10,Solid Republican,Solid Republican,Safe Republican
NC-11,Solid Republican,Solid Republican,Safe Republican
NC-12,Solid Democratic,Solid Democratic,Safe Democratic
NC-13,Toss-up,Toss-up,Lean Republican
NC-14,Solid Democratic,Solid Democratic,Safe Democratic
ND-01,Solid Republican,Solid Republican,Safe Republican
NE-01,Solid Republican,Solid Republican,Safe Republican
NE-02,Toss-up,Toss-up,Lean Republican
NE-03,Solid Republican,Solid Republican,Safe Republican
NH-01,Toss-up,Tilt Democratic,Lean Democratic
NH-02,Lean Democratic,Likely Democratic,Likely Democratic
NJ-01,Solid Democratic,Solid Democratic,Safe Democratic
NJ-02,Solid Republican,Solid Republican,Safe Republican
NJ-03,Lean Democratic,Solid Democratic,Likely Democratic
NJ-04,Solid Republican,Solid Republican,Safe Republican
NJ-05,Likely Democratic,Solid Democratic,Likely Democratic
NJ-06,Solid Democratic,Solid Democratic,Safe Democratic
NJ-07,Lean Republican,Tilt Republican,Lean Republican
NJ-08,Solid Democratic,Solid Democratic,Safe Democratic
NJ-09,Solid Democratic,Solid Democratic,Safe Democratic
NJ-10,Solid Democratic,Solid Democratic,Safe Democratic
NJ-11,Solid Democratic,Solid Democratic,Safe Democratic
NJ-12,Solid Democratic,Solid Democratic,Safe Democratic
NM-01,Solid Democratic,Solid Democratic,Likely Democratic
NM-02,Toss-up,Toss-up,Lean Republican
NM-03,Likely Democratic,Solid Democratic,Likely Democratic
NV-01,Toss-up,Tilt Democratic,Lean Democratic
NV-02,Solid Republican,Solid Republican,Safe Republican
NV-03,Toss-up,Tilt Democratic,Toss-up
NV-04,Lean Democratic,Lean Democratic,Lean Democratic
NY-01,Lean Republican,Tilt Republican,Lean Republican
NY-02,Likely Republican,Lean Republican,Likely Republican
NY-03,Toss-up,Tilt Democratic,Toss-up
NY-04,Toss-up,Lean Democratic,Lean Democratic
NY-05,Solid Democratic,Solid Democratic,Safe Democratic
NY-06,Solid Democratic,Solid Democratic,Safe Democratic
NY-07,Solid Democratic,Solid Democratic,Safe Democratic
NY-08,Solid Democratic,Solid Democratic,Safe Democratic
NY-09,Solid Democratic,Solid Democratic,Safe Democratic
NY-10,Solid Democratic,Solid Democratic,Safe Democratic
NY-11,Likely Republican,Likely Republican,Likely Republican
NY-12,Solid Democratic,Solid Democratic,Safe Democratic
NY-13,Solid Democratic,Solid Democratic,Safe Democratic
NY-14,Solid Democratic,Solid Democratic,Safe Democratic
NY-15,Solid Democratic,Solid Democratic,Safe Democratic
NY-16,Solid Democratic,Solid Democratic,Safe Democratic
NY-17,Toss-up,Tilt Democratic,Lean Democratic
NY-18,Lean Democratic,Tilt Democratic,Lean Democratic
NY-19,Toss-up,Toss-up,Toss-up
NY-20,Solid Democratic,Solid Democratic,Safe Democratic
NY-21,Solid Republican,Solid Republican,Safe Republican
NY-22,Toss-up,Toss-up,Lean Republican
NY-23,Solid Republican,Solid Republican,Safe Republican
NY-24,Solid Republican,Solid Republican,Safe Republican
NY-25,Likely Democratic,Solid Democratic,Likely Democratic
NY-26,Solid Democratic,Solid Democratic,Safe Democratic
OH-01,Toss-up,Toss-up,Toss-up
OH-02,Solid Republican,Solid Republican,Safe Republican
OH-03,Solid Democratic,Solid Democratic,Safe Democratic
OH-04,Solid Republican,Solid Republican,Safe Republican
OH-05,Solid Republican,Solid Republican,Safe Republican
OH-06,Solid Republican,Solid Republican,Safe Republican
OH-07,Solid Republican,Solid Republican,Safe Republican
OH-08,Solid Republican,Solid Republican,Safe Republican
OH-09,Lean Democratic,Lean Democratic,Lean Democratic
OH-10,Solid Republican,Solid Republican,Safe Republican
OH-11,Solid Democratic,Solid Democratic,Safe Democratic
OH-12,Solid Republican,Solid Republican,Safe Republican
OH-13,Toss-up,Toss-up,Toss-up
OH-14,Solid Republican,Solid Republican,Safe Republican
OH-15,Solid Republican,Solid Republican,Safe Republican
OK-01,Solid Republican,Solid Republican,Safe Republican
OK-02,Solid Republican,Solid Republican,Safe Republican
OK-03,Solid Republican,Solid Republican,Safe Republican
OK-04,Solid Republican,Solid Republican,Safe Republican
OK-05,Solid Republican,Solid Republican,Safe Republican
OR-01,Solid Democratic,Solid Democratic,Safe Democratic
OR-02,Solid Republican,Solid Republican,Safe Republican
OR-03,Solid Democratic,Solid Democratic,Safe Democratic
OR-04,Lean Democratic,Lean Democratic,Lean Democratic
OR-05,Lean Republican,Toss-up,Lean Republican
OR-06,Toss-up,Toss-up,Lean Democratic
PA-01,Solid Republican,Solid Republican,Likely Republican
PA-02,Solid Democratic,Solid Democratic,Safe Democratic
PA-03,Solid Democratic,Solid Democratic,Safe Democratic
PA-04,Solid Democratic,Solid Democratic,Safe Democratic
PA-05,Solid Democratic,Solid Democratic,Safe Democratic
PA-06,Solid Democratic,Solid Democratic,Likely Democratic
PA-07,Toss-up,Toss-up,Toss-up
PA-08,Toss-up,Toss-up,Toss-up
PA-09,Solid Republican,Solid Republican,Safe Republican
PA-10,Solid Republican,Solid Republican,Safe Republican
PA-11,Solid Republican,Solid Republican,Safe Republican
PA-12,Likely Democratic,Solid Democratic,Likely Democratic
PA-13,Solid Republican,Solid Republican,Safe Republican
PA-14,Solid Republican,Solid Republican,Safe Republican
PA-15,Solid Republican,Solid Republican,Safe Republican
PA-16,Solid Republican,Solid Republican,Safe Republican
PA-17,Toss-up,Toss-up,Toss-up
RI-01,Solid Democratic,Solid Democratic,Safe Democratic
RI-02,Toss-up,Tilt Democratic,Toss-up
SC-01,Solid Republican,Solid Republican,Safe Republican
SC-02,Solid Republican,Solid Republican,Safe Republican
SC-03,Solid Republican,Solid Republican,Safe Republican
SC-04,Solid Republican,Solid Republican,Safe Republican
SC-05,Solid Republican,Solid Republican,Safe Republican
SC-06,Solid Democratic,Solid Democratic,Safe Democratic
SC-07,Solid Republican,Solid Republican,Safe Republican
SD-01,Solid Republican,Solid Republican,Safe Republican
TN-01,Solid Republican,Solid Republican,Safe Republican
TN-02,Solid Republican,Solid Republican,Safe Republican
TN-03,Solid Republican,Solid Republican,Safe Republican
TN-04,Solid Republican,Solid Republican,Safe Republican
TN-05,Likely Republican,Likely Republican,Safe Republican
TN-06,Solid Republican,Solid Republican,Safe Republican
TN-07,Solid Republican,Solid Republican,Safe Republican
TN-08,Solid Republican,Solid Republican,Safe Republican
TN-09,Solid Democratic,Solid Democratic,Safe Democratic
TX-01,Solid Republican,Solid Republican,Safe Republican
TX-02,Solid Republican,Solid Republican,Safe Republican
TX-03,Solid Republican,Solid Republican,Safe Republican
TX-04,Solid Republican,Solid Republican,Safe Republican
TX-05,Solid Republican,Solid Republican,Safe Republican
TX-06,Solid Republican,Solid Republican,Safe Republican
TX-07,Solid Democratic,Solid Democratic,Safe Democratic
TX-08,Solid Republican,Solid Republican,Safe Republican
TX-09,Solid Democratic,Solid Democratic,Safe Democratic
TX-10,Solid Republican,Solid Republican,Safe Republican
TX-11,Solid Republican,Solid Republican,Safe Republican
TX-12,Solid Republican,Solid Republican,Safe Republican
TX-13,Solid Republican,Solid Republican,Safe Republican
TX-14,Solid Republican,Solid Republican,Safe Republican
TX-15,Likely Republican,Lean Republican,Likely Republican
TX-16,Solid Democratic,Solid Democratic,Safe Democratic
TX-17,Solid Republican,Solid Republican,Safe Republican
TX-18,Solid Democratic,Solid Democratic,Safe Democratic
TX-19,Solid Republican,Solid Republican,Safe Republican
TX-20,Solid Democratic,Solid Democratic,Safe Democratic
TX-21,Solid Republican,Solid Republican,Safe Republican
TX-22,Solid Republican,Solid Republican,Safe Republican
TX-23,Solid Republican,Solid Republican,Safe Republican
TX-24,Solid Republican,Solid Republican,Safe Republican
TX-25,Solid Republican,Solid Republican,Safe Republican
TX-26,Solid Republican,Solid Republican,Safe Republican
TX-27,Solid Republican,Solid Republican,Safe Republican
TX-28,Lean Democratic,Lean Democratic,Toss-up
TX-29,Solid Democratic,Solid Democratic,Safe Democratic
TX-30,Solid Democratic,Solid Democratic,Safe Democratic
TX-31,Solid Republican,Solid Republican,Safe Republican
TX-32,Solid Democratic,Solid Democratic,Safe Democratic
TX-33,Solid Democratic,Solid Democratic,Safe Democratic
TX-34,Toss-up,Tilt Democratic,Toss-up
TX-35,Solid Democratic,Solid Democratic,Safe Democratic
TX-36,Solid Republican,Solid Republican,Safe Republican
TX-37,Solid Democratic,Solid Democratic,Safe Democratic
TX-38,Solid Republican,Solid Republican,Safe Republican
UT-01,Solid Republican,Solid Republican,Safe Republican
UT-02,Solid Republican,Solid Republican,Safe Republican
UT-03,Solid Republican,Solid Republican,Safe Republican
UT-04,Solid Republican,Solid Republican,Safe Republican
VA-01,Solid Republican,Solid Republican,Safe Republican
VA-02,Toss-up,Toss-up,Toss-up
VA-03,Solid Democratic,Solid Democratic,Safe Democratic
VA-04,Solid Democratic,Solid Democratic,Safe Democratic
VA-05,Solid Republican,Solid Republican,Safe Republican
VA-06,Solid Republican,Solid Republican,Safe Republican
VA-07,Toss-up,Tilt Democratic,Lean Democratic
VA-08,Solid Democratic,Solid Democratic,Safe Democratic
VA-09,Solid Republican,Solid Republican,Safe Republican
VA-10,Likely Democratic,Likely Democratic,Likely Democratic
VA-11,Solid Democratic,Solid Democratic,Safe Democratic
VT-01,Solid Democratic,Solid Democratic,Safe Democratic
WA-01,Solid Democratic,Solid Democratic,Safe Democratic
WA-02,Solid Democratic,Solid Democratic,Safe Democratic
WA-03,Lean Republican,Lean Republican,Likely Republican
WA-04,Solid Republican,Solid Republican,Safe Republican
WA-05,Solid Republican,Solid Republican,Safe Republican
WA-06,Solid Democratic,Solid Democratic,Safe Democratic
WA-07,Solid Democratic,Solid Democratic,Safe Democratic
WA-08,Toss-up,Toss-up,Lean Democratic
WA-09,Solid Democratic,Solid Democratic,Safe Democratic
WA-10,Solid Democratic,Solid Democratic,Safe Democratic
WI-01,Solid Republican,Solid Republican,Safe Republican
WI-02,Solid Democratic,Solid Democratic,Safe Democratic
WI-03,Likely Republican,Lean Republican,Likely Republican
WI-04,Solid Democratic,Solid Democratic,Safe Democratic
WI-05,Solid Republican,Solid Republican,Safe Republican
WI-06,Solid Republican,Solid Republican,Safe Republican
WI-07,Solid Republican,Solid Republican,Safe Republican
WI-08,Solid Republican,Solid Republican,Safe Republican
WV-01,Solid Republican,Solid Republican,Safe Republican
WV-02,Solid Republican,Solid Republican,Safe Republican
WY-01,Solid Republican,Solid Republican,Safe Republican
