pollster,sample_size,type,dem,rep,bmonth,bday,year,emonth,eday,days_until_election,R_seats,D_seats,Other_seats,winner_party,R_majorvote_pct,D_majorvote_pct,president_party,H_incumbent_party,H_incumbent_party_winner,H_incumbent_party_majorvote_pct,rdi,rdi_change,rdi_change_pct,midterm_year,poll_margin,D_votemargin,poll_vote_diff
Gallup Poll,1644,NA,55,37,10,19,1962,10,24,15.5,176,258,5,D,47.13,52.87,D,D,TRUE,52.87,2506.3,34.80000000000018,1.4080517904106804,midterm,18,5.739999999999995,2.1300000000000026
Gallup Poll,1701,NA,57,34,9,20,1962,9,25,44.5,176,258,5,D,47.13,52.87,D,D,TRUE,52.87,2506.3,34.80000000000018,1.4080517904106804,midterm,23,5.739999999999995,4.130000000000003
Gallup Poll,1444.310059,NA,56,45,10,29,1962,11,2,6,176,258,5,D,47.13,52.87,D,D,TRUE,52.87,2506.3,34.80000000000018,1.4080517904106804,midterm,11,5.739999999999995,3.1300000000000026
Gallup Poll,1550,NA,60,31,10,8,1964,10,13,23.5,140,295,4,D,42.73,57.27,D,D,TRUE,57.27,2810.9,77.09999999999991,2.8202502011851704,pres,29,14.540000000000006,2.729999999999997
Gallup Poll,1600,NA,58,32,9,18,1964,9,23,43.5,140,295,4,D,42.73,57.27,D,D,TRUE,57.27,2810.9,77.09999999999991,2.8202502011851704,pres,26,14.540000000000006,0.7299999999999969
Gallup Poll,1208,NA,49,39,10,21,1966,10,26,15.5,187,248,3,D,49.14,50.86,D,D,TRUE,50.86,3134.5,86.69999999999982,2.844674847430917,midterm,10,1.7199999999999989,-1.8599999999999994
Gallup Poll,1444.310059,NA,53,48,10,31,1966,11,5,5.5,187,248,3,D,49.14,50.86,D,D,TRUE,50.86,3134.5,86.69999999999982,2.844674847430917,midterm,5,1.7199999999999989,2.1400000000000006
Gallup Poll,1597,NA,48,36,10,1,1966,10,6,35.5,187,248,3,D,49.14,50.86,D,D,TRUE,50.86,3134.5,86.69999999999982,2.844674847430917,midterm,12,1.7199999999999989,-2.8599999999999994
Gallup Poll,1597,NA,55,34,10,1,1966,10,6,35.5,187,248,3,D,49.14,50.86,D,D,TRUE,50.86,3134.5,86.69999999999982,2.844674847430917,midterm,21,1.7199999999999989,4.140000000000001
Harris Survey,1250,NA,54,46,10,14,1966,10,16,24,187,248,3,D,49.14,50.86,D,D,TRUE,50.86,3134.5,86.69999999999982,2.844674847430917,midterm,8,1.7199999999999989,3.1400000000000006
Gallup Poll,1605,NA,50,42,10,17,1968,10,22,16.5,192,243,0,D,49.08,50.92,R,D,TRUE,50.92,3401.2,51.29999999999973,1.5313889966864558,pres,8,1.8400000000000034,-0.9200000000000017
Gallup Poll,1504,NA,44,45,9,19,1968,9,24,44.5,192,243,0,D,49.08,50.92,R,D,TRUE,50.92,3401.2,51.29999999999973,1.5313889966864558,pres,-1,1.8400000000000034,-6.920000000000002
Gallup Poll,1500,NA,47,44,9,26,1968,10,1,37.5,192,243,0,D,49.08,50.92,R,D,TRUE,50.92,3401.2,51.29999999999973,1.5313889966864558,pres,3,1.8400000000000034,-3.9200000000000017
Gallup Poll,1507,NA,54,39,10,9,1970,10,14,22.5,180,255,0,D,45.78,54.22,R,D,TRUE,54.22,3662.7,34.29999999999973,0.9453202513504566,midterm,15,8.439999999999998,-0.21999999999999886
Gallup Poll,1497,NA,52,35,9,25,1970,9,28,37.5,180,255,0,D,45.78,54.22,R,D,TRUE,54.22,3662.7,34.29999999999973,0.9453202513504566,midterm,17,8.439999999999998,-2.219999999999999
Gallup Poll,1532,NA,52,36,9,22,1970,9,25,40.5,180,255,0,D,45.78,54.22,R,D,TRUE,54.22,3662.7,34.29999999999973,0.9453202513504566,midterm,16,8.439999999999998,-2.219999999999999
Gallup Poll,1532,NA,52,36,10,22,1970,10,25,10.5,180,255,0,D,45.78,54.22,R,D,TRUE,54.22,3662.7,34.29999999999973,0.9453202513504566,midterm,16,8.439999999999998,-2.219999999999999
Gallup Poll,1500,NA,50,44,10,26,1970,10,31,5.5,180,255,0,D,45.78,54.22,R,D,TRUE,54.22,3662.7,34.29999999999973,0.9453202513504566,midterm,6,8.439999999999998,-4.219999999999999
Gallup Poll,1505,NA,51,38,9,22,1972,9,25,44.5,192,242,1,D,47.18,52.82,R,D,TRUE,52.82,4165.6,268.7000000000003,6.895224409145739,pres,13,5.640000000000001,-1.8200000000000003
Gallup Poll,1565,NA,48,39,10,3,1972,10,5,34,192,242,1,D,47.18,52.82,R,D,TRUE,52.82,4165.6,268.7000000000003,6.895224409145739,pres,9,5.640000000000001,-4.82
Time/Yankelovich Study Wave 4,3012,NA,45,40,10,14,1972,10,16,23,192,242,1,D,47.18,52.82,R,D,TRUE,52.82,4165.6,268.7000000000003,6.895224409145739,pres,5,5.640000000000001,-7.82
Gallup Poll,1527,NA,56,25,9,27,1974,9,30,37.5,144,291,0,D,41.43,58.57,R,D,TRUE,58.57,4169,-15.199999999999818,-0.3632713541417698,midterm,31,17.14,-2.5700000000000003
Harris,1266,NA,52,33,11,1,1974,11,4,2.5,144,291,0,D,41.43,58.57,R,D,TRUE,58.57,4169,-15.199999999999818,-0.3632713541417698,midterm,19,17.14,-6.57
Gallup Poll,1595,NA,58,27,10,18,1974,10,21,16.5,144,291,0,D,41.43,58.57,R,D,TRUE,58.57,4169,-15.199999999999818,-0.3632713541417698,midterm,31,17.14,-0.5700000000000003
Gallup Poll,1586,NA,64,32,10,11,1974,10,14,23.5,144,291,0,D,41.43,58.57,R,D,TRUE,58.57,4169,-15.199999999999818,-0.3632713541417698,midterm,32,17.14,5.43
Gallup Poll,1266,NA,55,31,9,23,1974,9,27,41,144,291,0,D,41.43,58.57,R,D,TRUE,58.57,4169,-15.199999999999818,-0.3632713541417698,midterm,24,17.14,-3.5700000000000003
Yankelovich,1304,NA,51,27,9,25,1976,9,29,36,143,292,0,D,42.81,57.19,D,D,TRUE,57.19,4481.1,71.80000000000018,1.628376386274466,pres,24,14.379999999999995,-6.189999999999998
Gallup Poll,1500,NA,53,39,10,28,1976,10,30,4,143,292,0,D,42.81,57.19,D,D,TRUE,57.19,4481.1,71.80000000000018,1.628376386274466,pres,14,14.379999999999995,-4.189999999999998
Yankelovich,1574,NA,53,29,10,16,1976,10,19,15.5,143,292,0,D,42.81,57.19,D,D,TRUE,57.19,4481.1,71.80000000000018,1.628376386274466,pres,24,14.379999999999995,-4.189999999999998
Gallup Poll,1581,NA,52,29,9,22,1978,9,25,44.5,158,277,0,D,45.69,54.31,D,D,TRUE,54.31,4824.8,60,1.2592343854936239,midterm,23,8.620000000000005,-2.3100000000000023
CBS News,1451,NA,44,24,9,25,1978,9,29,41,158,277,0,D,45.69,54.31,D,D,TRUE,54.31,4824.8,60,1.2592343854936239,midterm,20,8.620000000000005,-10.310000000000002
NBC/AP,1600,NA,47,33,10,16,1978,10,17,21.5,158,277,0,D,45.69,54.31,D,D,TRUE,54.31,4824.8,60,1.2592343854936239,midterm,14,8.620000000000005,-7.310000000000002
NA,1506,NA,45,26,10,16,1978,10,22,19,158,277,0,D,45.69,54.31,D,D,TRUE,54.31,4824.8,60,1.2592343854936239,midterm,19,8.620000000000005,-9.310000000000002
Gallup Poll,1534,NA,54,32,10,13,1978,10,16,23.5,158,277,0,D,45.69,54.31,D,D,TRUE,54.31,4824.8,60,1.2592343854936239,midterm,22,8.620000000000005,-0.3100000000000023
Gallup Poll,2844,NA,55,45,10,14,1978,10,16,23,158,277,0,D,45.69,54.31,D,D,TRUE,54.31,4824.8,60,1.2592343854936239,midterm,10,8.620000000000005,0.6899999999999977
Gallup Poll,1543,NA,61,38,10,5,1978,10,8,31.5,158,277,0,D,45.69,54.31,D,D,TRUE,54.31,4824.8,60,1.2592343854936239,midterm,23,8.620000000000005,6.689999999999998
Yankelovich,1034,NA,37,21,10,5,1978,10,8,31.5,158,277,0,D,45.69,54.31,D,D,TRUE,54.31,4824.8,60,1.2592343854936239,midterm,16,8.620000000000005,-17.310000000000002
ABC News/Harris Survey,3931,NA,48,42,10,22,1980,10,27,10.5,192,242,1,D,48.72,51.28,R,D,TRUE,51.28,4966.8,108.40000000000055,2.2311872221307594,pres,6,2.5600000000000023,-3.280000000000001
NBC/AP,1508,NA,42,39,9,22,1980,9,24,42,192,242,1,D,48.72,51.28,R,D,TRUE,51.28,4966.8,108.40000000000055,2.2311872221307594,pres,3,2.5600000000000023,-9.280000000000001
Gallup Poll,1593,NA,51,36,10,10,1980,10,13,23.5,192,242,1,D,48.72,51.28,R,D,TRUE,51.28,4966.8,108.40000000000055,2.2311872221307594,pres,15,2.5600000000000023,-0.28000000000000114
Gallup Poll,3492,NA,52,36,10,30,1980,11,1,4,192,242,1,D,48.72,51.28,R,D,TRUE,51.28,4966.8,108.40000000000055,2.2311872221307594,pres,16,2.5600000000000023,0.7199999999999989
Time/Yankelovich,1590,NA,33,26,10,14,1980,10,16,20,192,242,1,D,48.72,51.28,R,D,TRUE,51.28,4966.8,108.40000000000055,2.2311872221307594,pres,7,2.5600000000000023,-18.28
CBS/NYT,2135,NA,44,37,10,16,1980,10,20,17,192,242,1,D,48.72,51.28,R,D,TRUE,51.28,4966.8,108.40000000000055,2.2311872221307594,pres,7,2.5600000000000023,-7.280000000000001
NA,794,NA,57,39,9,27,1982,9,30,34.5,166,269,1,D,43.85,56.15,R,D,TRUE,56.15,5166.1,15.600000000000364,0.3028832152218275,midterm,18,12.299999999999997,0.8500000000000014
NA,1444.310059,NA,52,39,9,25,1982,9,29,36,166,269,1,D,43.85,56.15,R,D,TRUE,56.15,5166.1,15.600000000000364,0.3028832152218275,midterm,13,12.299999999999997,-4.149999999999999
NA,1261,NA,52,40,10,9,1982,10,13,22,166,269,1,D,43.85,56.15,R,D,TRUE,56.15,5166.1,15.600000000000364,0.3028832152218275,midterm,12,12.299999999999997,-4.149999999999999
NA,1010,NA,48,33,10,5,1982,10,7,27,166,269,1,D,43.85,56.15,R,D,TRUE,56.15,5166.1,15.600000000000364,0.3028832152218275,midterm,15,12.299999999999997,-8.149999999999999
NA,1256,NA,51,42,10,27,1982,10,28,5.5,166,269,1,D,43.85,56.15,R,D,TRUE,56.15,5166.1,15.600000000000364,0.3028832152218275,midterm,9,12.299999999999997,-5.149999999999999
NA,1590,NA,43,38,9,28,1984,10,1,37.5,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,5,5.439999999999998,-9.719999999999999
NA,1014,NA,42,32,10,23,1984,10,25,13,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,10,5.439999999999998,-10.719999999999999
NA,1518,NA,44,39,9,21,1984,9,24,44.5,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,5,5.439999999999998,-8.719999999999999
NA,1282,NA,39,38,10,12,1984,10,12,25,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,1,5.439999999999998,-13.719999999999999
NA,2219,NA,41,42,10,30,1984,11,4,4.5,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,-1,5.439999999999998,-11.719999999999999
NA,4831,NA,39,36,10,4,1984,10,15,27.5,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,3,5.439999999999998,-13.719999999999999
NA,846,NA,44,48,10,21,1984,10,21,16,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,-4,5.439999999999998,-8.719999999999999
NA,1260,NA,44,33,9,25,1984,9,26,41.5,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,11,5.439999999999998,-8.719999999999999
NA,1001,NA,41,30,10,10,1984,10,12,26,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,11,5.439999999999998,-11.719999999999999
NA,1467,NA,52,44,10,22,1984,10,23,14.5,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,8,5.439999999999998,-0.7199999999999989
NA,2930,NA,49,45,11,2,1984,11,5,2.5,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,4,5.439999999999998,-3.719999999999999
NA,1416,NA,53,44,11,1,1984,11,3,4,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,9,5.439999999999998,0.28000000000000114
NA,1336,NA,49,43,9,21,1984,9,25,44,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,6,5.439999999999998,-3.719999999999999
NA,1008,NA,49,44,10,22,1984,10,24,14,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,5,5.439999999999998,-3.719999999999999
NA,1319,NA,43,37,10,25,1984,10,25,12,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,6,5.439999999999998,-9.719999999999999
NA,1302,NA,52,41,10,22,1984,10,23,14.5,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,11,5.439999999999998,-0.7199999999999989
NA,1520,NA,44,40,10,26,1984,10,29,9.5,182,253,0,D,47.28,52.72,R,D,TRUE,52.72,5769,136.19999999999982,2.417980400511288,pres,4,5.439999999999998,-8.719999999999999
NA,8645,NA,49,33,9,18,1986,9,28,42,177,258,0,D,44.81,55.19,R,D,TRUE,55.19,6113.2,48.30000000000018,0.7963857606885449,midterm,16,10.379999999999995,-6.189999999999998
NA,1253,NA,51,42,10,13,1986,10,14,21.5,177,258,0,D,44.81,55.19,R,D,TRUE,55.19,6113.2,48.30000000000018,0.7963857606885449,midterm,9,10.379999999999995,-4.189999999999998
NA,1559,NA,44,35,10,24,1986,10,27,9.5,177,258,0,D,44.81,55.19,R,D,TRUE,55.19,6113.2,48.30000000000018,0.7963857606885449,midterm,9,10.379999999999995,-11.189999999999998
NA,1207,NA,48,43,10,29,1986,11,1,4.5,177,258,0,D,44.81,55.19,R,D,TRUE,55.19,6113.2,48.30000000000018,0.7963857606885449,midterm,5,10.379999999999995,-7.189999999999998
NA,6431,NA,50,46,10,23,1986,10,29,9,177,258,0,D,44.81,55.19,R,D,TRUE,55.19,6113.2,48.30000000000018,0.7963857606885449,midterm,4,10.379999999999995,-5.189999999999998
NA,591,NA,44,40,10,14,1986,10,14,21,177,258,0,D,44.81,55.19,R,D,TRUE,55.19,6113.2,48.30000000000018,0.7963857606885449,midterm,4,10.379999999999995,-11.189999999999998
NA,1721,NA,46,33,11,1,1988,11,5,5,175,260,0,D,46,54,R,D,TRUE,54,6579.8,128,1.9839424656684868,pres,13,8,-8
NA,1356,NA,51,42,10,14,1988,10,17,23.5,175,260,0,D,46,54,R,D,TRUE,54,6579.8,128,1.9839424656684868,pres,9,8,-3
NA,12000,NA,51,40,9,21,1988,10,10,38.5,175,260,0,D,46,54,R,D,TRUE,54,6579.8,128,1.9839424656684868,pres,11,8,-3
NA,1002,NA,36,35,10,5,1988,10,7,33,175,260,0,D,46,54,R,D,TRUE,54,6579.8,128,1.9839424656684868,pres,1,8,-18
NA,1475,NA,43,34,10,25,1988,10,26,13.5,175,260,0,D,46,54,R,D,TRUE,54,6579.8,128,1.9839424656684868,pres,9,8,-11
NA,1286,NA,37,41,10,23,1988,10,26,14.5,175,260,0,D,46,54,R,D,TRUE,54,6579.8,128,1.9839424656684868,pres,-4,8,-17
NA,745,NA,50,43,11,2,1990,11,4,3,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,7,8.180000000000007,-4.090000000000003
NA,500,NA,44,36,10,10,1990,10,10,27,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,8,8.180000000000007,-10.090000000000003
NA,902,NA,53,42,10,26,1990,10,30,9,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,11,8.180000000000007,-1.0900000000000034
NA,1009,NA,47,45,10,11,1990,10,14,24.5,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,2,8.180000000000007,-7.090000000000003
NA,507,NA,35,33,10,30,1990,10,31,6.5,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,2,8.180000000000007,-19.090000000000003
NA,1019,NA,40,31,10,19,1990,10,21,17,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,9,8.180000000000007,-14.090000000000003
NA,500,NA,43,35,10,3,1990,10,3,34,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,8,8.180000000000007,-11.090000000000003
NA,1028,NA,48,42,11,5,1990,11,6,0.5,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,6,8.180000000000007,-6.090000000000003
NA,799,NA,50,40,10,25,1990,10,28,10.5,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,10,8.180000000000007,-4.090000000000003
NA,1000,NA,49,41,9,27,1990,9,30,38.5,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,8,8.180000000000007,-5.090000000000003
NA,1015,NA,51,41,11,2,1990,11,4,3,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,10,8.180000000000007,-3.0900000000000034
NA,1006,NA,49,42,10,10,1990,10,14,25,167,267,1,D,45.91,54.09,R,D,TRUE,54.09,6771.9,-75.40000000000055,-1.1011639624377567,midterm,7,8.180000000000007,-5.090000000000003
NA,1008,NA,46,29,10,20,1992,10,21,13.5,176,258,1,D,47.14,52.86,D,D,TRUE,52.86,7130.6,17.700000000000728,0.24884365026924815,pres,17,5.719999999999999,-6.859999999999999
NA,1833,NA,50,39,10,2,1992,10,5,30.5,176,258,1,D,47.14,52.86,D,D,TRUE,52.86,7130.6,17.700000000000728,0.24884365026924815,pres,11,5.719999999999999,-2.8599999999999994
NA,1008,NA,45,35,11,1,1992,11,1,2,176,258,1,D,47.14,52.86,D,D,TRUE,52.86,7130.6,17.700000000000728,0.24884365026924815,pres,10,5.719999999999999,-7.859999999999999
NA,1829,NA,50,40,10,24,1992,10,26,9,176,258,1,D,47.14,52.86,D,D,TRUE,52.86,7130.6,17.700000000000728,0.24884365026924815,pres,10,5.719999999999999,-2.8599999999999994
NA,732,NA,50,45,9,21,1992,9,23,42,176,258,1,D,47.14,52.86,D,D,TRUE,52.86,7130.6,17.700000000000728,0.24884365026924815,pres,5,5.719999999999999,-2.8599999999999994
NA,1507,NA,45,34,10,27,1992,10,28,6.5,176,258,1,D,47.14,52.86,D,D,TRUE,52.86,7130.6,17.700000000000728,0.24884365026924815,pres,11,5.719999999999999,-7.859999999999999
NA,782,NA,51,34,10,28,1992,11,1,4,176,258,1,D,47.14,52.86,D,D,TRUE,52.86,7130.6,17.700000000000728,0.24884365026924815,pres,17,5.719999999999999,-1.8599999999999994
NA,1295,NA,52,39,9,28,1992,9,30,35,176,258,1,D,47.14,52.86,D,D,TRUE,52.86,7130.6,17.700000000000728,0.24884365026924815,pres,13,5.719999999999999,-0.8599999999999994
NA,959,NA,42,36,10,20,1992,10,22,13,176,258,1,D,47.14,52.86,D,D,TRUE,52.86,7130.6,17.700000000000728,0.24884365026924815,pres,6,5.719999999999999,-10.86
NA,1444.310059,NA,41,36,9,22,1992,9,24,41,176,258,1,D,47.14,52.86,D,D,TRUE,52.86,7130.6,17.700000000000728,0.24884365026924815,pres,5,5.719999999999999,-11.86
NA,986,NA,51,41,10,23,1992,10,25,10,176,258,1,D,47.14,52.86,D,D,TRUE,52.86,7130.6,17.700000000000728,0.24884365026924815,pres,10,5.719999999999999,-1.8599999999999994
NA,1255,NA,39,33,9,24,1994,9,27,43.5,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,6,-7.180000000000007,-7.409999999999997
NA,1250,NA,42,41,9,18,1994,9,21,49.5,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,1,-7.180000000000007,-4.409999999999997
NA,1009,NA,45,48,9,20,1994,9,21,48.5,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,-3,-7.180000000000007,-1.4099999999999966
NA,1509,NA,36,41,10,14,1994,10,18,23,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,-5,-7.180000000000007,-10.409999999999997
NA,1006,NA,42,39,10,28,1994,11,1,9,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,3,-7.180000000000007,-4.409999999999997
NA,1006,NA,46,47,10,18,1994,10,19,20.5,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,-1,-7.180000000000007,-0.4099999999999966
NA,1998,NA,47,44,11,2,1994,11,6,4,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,3,-7.180000000000007,0.5900000000000034
NA,1000,NA,40,44,10,21,1994,10,23,17,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,-4,-7.180000000000007,-6.409999999999997
NA,800,NA,35,41,10,11,1994,10,12,27.5,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,-6,-7.180000000000007,-11.409999999999997
NA,1015,NA,47,45,10,27,1994,10,31,10,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,2,-7.180000000000007,0.5900000000000034
NA,802,NA,37,40,11,4,1994,11,5,3.5,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,-3,-7.180000000000007,-9.409999999999997
NA,800,NA,37,42,9,21,1994,9,22,47.5,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,-5,-7.180000000000007,-9.409999999999997
NA,1000,NA,41,35,10,25,1994,10,26,13.5,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,6,-7.180000000000007,-5.409999999999997
NA,1007,NA,49,45,10,22,1994,10,25,15.5,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,4,-7.180000000000007,2.5900000000000034
